station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,28934.4,0.0,519461.8,6,0.00479,0.0422,184.8,4384,1.0,0.055583,0.055701,,
2,Station 1.1: Bottom cover,28908.0,0.0,519527.0,6,0.004793,0.0435,190.6,4381,1.0,0.055532,0.055643,,
3,Station 2: Drill station,84822.4,45.6,519596.4,2,0.000981,0.7044,5747.4,8159,1.0,0.162943,0.163261,,
4,Station 2.1: Drill station,6323.2,72.2,519394.8,2,0.00821,0.1422,86.6,609,1.0,0.012147,0.012176,,
5,Station 3: Robot cell,520073.6,95.0,520185.8,2,0.437112,316.6409,561404.4,1773,1.0,0.999055,0.999967,,
6,Station 3.1: Robot cell,519868.8,135.0,520059.0,2,0.114318,212.0902,374763.4,1767,1.0,0.998662,0.999894,,
7,Station 3.2: Robot cell,519666.8,181.6,520305.8,2,0.311864,237.1833,419814.4,1770,1.0,0.998274,0.999121,,
8,Station 3.3: Robot cell,519518.8,185.4,520191.0,1,0.220897,192.0025,338116.4,1761,1.0,0.997989,0.999064,,
9,Station 3.4: Robot cell,516460.4,232.0,519943.4,1,0.006826,110.4503,194171.6,1758,1.0,0.992114,0.993745,,
10,Station 4: Inspection,15890.7,377.6,520386.9,0,0.0,0.0183,138.5,7567,1.0,0.030526,0.030558,,
11,Station 4.1: Inspection,2513.7,4739.2,518852.9,0,0.0,0.004,4.8,1197,1.0,0.004829,0.004889,,
12,Station 5: Top cover,961.4,43349.9,511292.1,0,0.0,0.0,0.0,209,1.0,0.001847,0.002055,,
13,Station 5.1: Top cover,39353.0,510.7,520522.5,1,0.000351,0.1003,857.8,8556,1.0,0.075597,0.075677,,
14,Station 6: Packaging,68.0,45464.3,475852.3,0,0.0,0.0,0.0,17,1.0,0.000131,0.000158,,
15,Station 6.1: Packaging,34988.0,554.3,520565.5,0,0.0,0.0018,15.6,8747,1.0,0.067212,0.067283,,
