disruption_type,station_id,start_time,end_time,efficiency_percentage,order_id,due_date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2
efficiency_loss,4,22302,22665,67,,,,,,,,,
emergency_order,,24951,,,360,39641,5,FUSE0,7,FUSE1,8,FUSE2,7
inspection_failure,4,29155,,,,,,,,,,,
Bottom Cover Stuck,1,53730,54758,0,,,,,,,,,
Top Cover Misaligned,5,60926,61848,0,,,,,,,,,
Bottom Cover Misaligned,1,76762,77720,0,,,,,,,,,
emergency_order,,82599,,,370,92347,5,FUSE0,8,FUSE1,7,FUSE2,8
inspection_failure,4.1,102791,,,,,,,,,,,
emergency_order,,110425,,,361,119195,5,FUSE0,7,FUSE1,7,FUSE2,7
Misaligned Material,3.3,118241,122447,0,,,,,,,,,
Drill To Dull,2.1,129262,132300,0,,,,,,,,,
Camera Dirty,4.1,135691,136528,0,,,,,,,,,
emergency_order,,140066,,,366,156995,5,FUSE0,7,FUSE1,7,FUSE2,7
inspection_failure,6,144126,,,,,,,,,,,
Bottom Cover Misaligned,1.1,154713,155491,0,,,,,,,,,
Top Cover Misaligned,5.1,161350,162279,0,,,,,,,,,
emergency_order,,172321,,,351,188169,5,FUSE0,7,FUSE1,8,FUSE2,6
efficiency_loss,5,176583,177237,85,,,,,,,,,
Bottom Cover Misaligned,1.1,179821,180699,0,,,,,,,,,
emergency_order,,195067,,,369,201536,5,FUSE0,6,FUSE1,6,FUSE2,7
efficiency_loss,1.1,203757,204195,20,,,,,,,,,
efficiency_loss,4.1,219133,219464,15,,,,,,,,,
Cover Wrong Orientation,3.1,220836,224091,0,,,,,,,,,
efficiency_loss,5.1,224860,225520,81,,,,,,,,,
Top Cover Stuck,5,229375,230339,0,,,,,,,,,
emergency_order,,237550,,,359,248444,5,FUSE0,7,FUSE1,6,FUSE2,9
Cover Wrong Orientation,3.3,240463,243826,0,,,,,,,,,
emergency_order,,242373,,,364,249967,5,FUSE0,5,FUSE1,5,FUSE2,6
emergency_order,,250025,,,367,289125,5,FUSE0,6,FUSE1,6,FUSE2,10
emergency_order,,250367,,,356,265337,5,FUSE0,7,FUSE1,8,FUSE2,6
emergency_order,,260291,,,363,275791,5,FUSE0,8,FUSE1,7,FUSE2,8
efficiency_loss,6,284963,285138,88,,,,,,,,,
Top Cover Stuck,5.1,300956,301939,0,,,,,,,,,
emergency_order,,307646,,,352,318629,5,FUSE0,6,FUSE1,6,FUSE2,7
PLC Failure,6.1,315436,316740,0,,,,,,,,,
efficiency_loss,2.1,333629,333897,18,,,,,,,,,
emergency_order,,344647,,,353,352408,5,FUSE0,9,FUSE1,7,FUSE2,9
Bottom Cover Stuck,1.1,357231,358253,0,,,,,,,,,
efficiency_loss,5.1,358305,359043,77,,,,,,,,,
inspection_failure,6.1,360136,,,,,,,,,,,
efficiency_loss,1,360813,361254,86,,,,,,,,,
emergency_order,,363226,,,358,371916,5,FUSE0,8,FUSE1,7,FUSE2,9
emergency_order,,363516,,,354,376400,5,FUSE0,6,FUSE1,7,FUSE2,8
Cover Wrong Orientation,3.4,364818,368415,0,,,,,,,,,
efficiency_loss,2,377119,377390,31,,,,,,,,,
emergency_order,,382004,,,365,395152,5,FUSE0,8,FUSE1,8,FUSE2,8
Misaligned Material,3.1,393348,397253,0,,,,,,,,,
efficiency_loss,6.1,401862,402074,63,,,,,,,,,
emergency_order,,402782,,,371,411816,5,FUSE0,8,FUSE1,7,FUSE2,6
efficiency_loss,4,405477,405781,33,,,,,,,,,
efficiency_loss,5,409997,410706,66,,,,,,,,,
emergency_order,,424584,,,372,431705,5,FUSE0,8,FUSE1,7,FUSE2,8
emergency_order,,446299,,,355,454987,5,FUSE0,4,FUSE1,5,FUSE2,10
Misaligned Material,3.4,448755,453478,0,,,,,,,,,
PLC Failure,4,450111,451653,0,,,,,,,,,
emergency_order,,475121,,,357,485150,5,FUSE0,8,FUSE1,9,FUSE2,9
emergency_order,,486196,,,368,506405,5,FUSE0,8,FUSE1,8,FUSE2,6
Camera Dirty,4,507290,508110,0,,,,,,,,,
efficiency_loss,4.1,525493,525885,71,,,,,,,,,
Drill Broke,2.1,526618,532964,0,,,,,,,,,
Misaligned Material,3,532097,535912,0,,,,,,,,,
Drill To Dull,2,535841,539210,0,,,,,,,,,
PLC Failure,1,549962,551275,0,,,,,,,,,
emergency_order,,560098,,,362,568074,5,FUSE0,6,FUSE1,7,FUSE2,7
