station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,520590.4478,0.0,620506.5922,14,0.12168,26.5248,123817.841,4668,0.989285,0.836657,0.838976,,
2,Station 1.1: Bottom cover,517029.4592,0.0,620583.7922,13,0.038866,8.7087,40556.2725,4657,0.993895,0.830934,0.833134,,
3,Station 2: Drill station,551834.9089,151.2,620823.5922,24,0.199493,105.7508,333961.0202,3158,0.987407,0.886871,0.889092,,
4,Station 2.1: Drill station,563949.4014,191.2,620788.3922,27,0.459726,261.5486,821524.0286,3141,0.960571,0.90634,0.908721,,
5,Station 2.2: Drill station,542564.4018,303.4,620747.5922,18,0.149695,78.5223,244439.9747,3113,0.988522,0.871972,0.874477,,
6,Station 3: Robot cell,551703.5769,367.0,621054.2922,9,0.174184,183.7542,354461.767,1929,0.98802,0.88666,0.888859,,
7,Station 3.1: Robot cell,552202.8131,447.0,621209.0922,15,0.271975,195.0836,377291.7082,1934,0.990613,0.887462,0.889556,,
8,Station 3.2: Robot cell,554273.4888,599.2,621406.2922,20,0.313725,269.532,522352.934,1938,0.985214,0.89079,0.892827,,
9,Station 3.3: Robot cell,541878.0458,603.8,621208.9922,5,0.022094,87.562,166455.4553,1901,0.995384,0.870869,0.873145,,
10,Station 3.4: Robot cell,546799.5983,800.6,621437.3922,19,0.339852,246.1696,465752.9668,1892,0.980845,0.878778,0.88103,,
11,Station 4: Inspection,545736.3529,649.6,621673.9922,18,0.509716,118.8168,556419.1227,4683,0.992569,0.877069,0.878768,,
12,Station 4.1: Inspection,538252.2629,966.4,621622.8922,14,0.364538,95.3823,442192.1679,4636,0.996643,0.865042,0.867231,,
13,Station 5: Top cover,534013.5354,1300.2,621916.0922,9,0.305879,132.7654,411041.5382,3096,0.989295,0.858229,0.860457,,
14,Station 5.1: Top cover,540954.5066,1015.8,622007.2922,14,0.343939,137.0707,430813.1628,3143,0.989608,0.869384,0.871114,,
15,Station 5.2: Top cover,546633.1128,878.2,621959.7922,14,0.18752,110.8136,351611.636,3173,0.989483,0.878511,0.880131,,
16,Station 6: Packaging,531599.5845,1448.8,622188.2922,19,0.205813,73.2358,340180.4707,4645,0.995621,0.85435,0.856397,,
17,Station 6.1: Packaging,533002.9458,1092.0,622227.0922,2,0.13543,56.6459,264762.8837,4674,1.0,0.856605,0.858111,,
