order_id,due date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,planned_day
51,7564,1,FUSE0,8,FUSE1,8,FUSE2,8,1,1
307,7708,1,FUSE0,7,FUSE1,7,FUSE2,8,1,1
110,10747,1,FUSE0,10,FUSE1,9,FUSE2,10,1,1
27,14243,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1
330,16959,2,FUSE0,9,FUSE1,9,FUSE2,9,1,1
341,17488,3,FUSE0,9,FUSE1,9,FUSE2,9,1,1
229,17560,3,FUSE0,8,FUSE1,8,FUSE2,8,1,1
253,23832,4,FUSE0,10,FUSE1,10,FUSE2,9,1,1
25,26039,1,FUSE0,8,FUSE1,8,FUSE2,8,1,1
346,26993,1,FUSE0,8,FUSE1,8,FUSE2,8,1,1
84,28061,2,FUSE0,9,FUSE1,9,FUSE2,9,1,1
286,29399,2,FUSE0,8,FUSE1,8,FUSE2,7,1,1
139,29834,1,FUSE0,9,FUSE1,9,FUSE2,10,1,1
127,29963,1,FUSE0,9,FUSE1,9,FUSE2,10,1,1
159,31010,1,FUSE0,8,FUSE1,7,FUSE2,8,1,1
34,35101,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1
103,35129,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1
6,38493,2,FUSE0,8,FUSE1,8,FUSE2,9,1,1
125,39897,3,FUSE0,9,FUSE1,9,FUSE2,8,1,2
167,40411,1,FUSE0,8,FUSE1,8,FUSE2,9,1,2
61,40665,2,FUSE0,9,FUSE1,9,FUSE2,10,1,2
31,43443,1,FUSE0,9,FUSE1,9,FUSE2,8,1,2
3,44002,2,FUSE0,8,FUSE1,8,FUSE2,8,1,2
310,45382,1,FUSE0,8,FUSE1,8,FUSE2,7,1,2
116,45452,1,FUSE0,9,FUSE1,9,FUSE2,8,1,2
85,47584,1,FUSE0,8,FUSE1,8,FUSE2,8,1,2
184,53189,1,FUSE0,9,FUSE1,9,FUSE2,8,1,2
91,53792,1,FUSE0,8,FUSE1,8,FUSE2,9,1,2
300,55006,2,FUSE0,10,FUSE1,10,FUSE2,10,1,2
342,56909,1,FUSE0,9,FUSE1,9,FUSE2,9,1,2
158,57305,1,FUSE0,8,FUSE1,8,FUSE2,7,1,2
52,58515,1,FUSE0,7,FUSE1,7,FUSE2,8,1,2
59,59874,1,FUSE0,8,FUSE1,8,FUSE2,9,1,2
236,61868,1,FUSE0,7,FUSE1,7,FUSE2,8,1,2
261,62652,1,FUSE0,8,FUSE1,8,FUSE2,9,1,2
258,64416,1,FUSE0,7,FUSE1,7,FUSE2,6,1,3
14,66532,3,FUSE0,8,FUSE1,8,FUSE2,7,1,3
336,72176,1,FUSE0,10,FUSE1,10,FUSE2,9,1,3
232,73695,1,FUSE0,9,FUSE1,9,FUSE2,10,1,3
143,73787,1,FUSE0,9,FUSE1,9,FUSE2,10,1,3
76,76847,2,FUSE0,8,FUSE1,7,FUSE2,8,1,3
182,77162,1,FUSE0,8,FUSE1,8,FUSE2,7,1,3
222,78328,2,FUSE0,7,FUSE1,8,FUSE2,8,1,3
223,79327,1,FUSE0,8,FUSE1,8,FUSE2,8,1,3
160,80829,1,FUSE0,8,FUSE1,7,FUSE2,8,1,3
256,82824,1,FUSE0,8,FUSE1,8,FUSE2,7,1,3
247,83697,5,FUSE0,9,FUSE1,9,FUSE2,10,1,3
234,84331,1,FUSE0,9,FUSE1,9,FUSE2,8,1,3
153,85496,3,FUSE0,9,FUSE1,9,FUSE2,8,1,3
11,85513,1,FUSE0,10,FUSE1,10,FUSE2,9,1,3
47,89717,1,FUSE0,8,FUSE1,8,FUSE2,8,1,3
195,91733,1,FUSE0,7,FUSE1,7,FUSE2,6,1,3
190,97350,2,FUSE0,8,FUSE1,8,FUSE2,9,1,3
169,98579,1,FUSE0,9,FUSE1,9,FUSE2,10,1,4
134,99384,5,FUSE0,8,FUSE1,8,FUSE2,7,1,4
281,101754,1,FUSE0,7,FUSE1,7,FUSE2,8,1,4
43,104302,2,FUSE0,8,FUSE1,8,FUSE2,8,1,4
255,105303,3,FUSE0,9,FUSE1,9,FUSE2,10,1,4
87,106509,1,FUSE0,7,FUSE1,7,FUSE2,8,1,4
129,108841,1,FUSE0,9,FUSE1,9,FUSE2,10,1,4
138,110750,1,FUSE0,8,FUSE1,8,FUSE2,9,1,4
239,111071,1,FUSE0,8,FUSE1,7,FUSE2,7,1,4
215,115372,1,FUSE0,10,FUSE1,9,FUSE2,10,1,4
180,116641,4,FUSE0,9,FUSE1,9,FUSE2,10,1,4
89,117732,1,FUSE0,8,FUSE1,8,FUSE2,9,1,4
225,118671,1,FUSE0,8,FUSE1,8,FUSE2,9,1,4
18,119428,1,FUSE0,9,FUSE1,9,FUSE2,8,1,4
142,123587,1,FUSE0,9,FUSE1,9,FUSE2,9,1,4
206,129305,2,FUSE0,8,FUSE1,8,FUSE2,9,1,4
100,129541,1,FUSE0,7,FUSE1,7,FUSE2,8,1,4
320,132727,2,FUSE0,10,FUSE1,10,FUSE2,10,1,5
113,133465,5,FUSE0,8,FUSE1,8,FUSE2,9,1,5
243,134417,2,FUSE0,9,FUSE1,9,FUSE2,8,1,5
16,135122,3,FUSE0,9,FUSE1,9,FUSE2,9,1,5
238,135619,2,FUSE0,9,FUSE1,10,FUSE2,10,1,5
93,136517,3,FUSE0,7,FUSE1,7,FUSE2,7,1,5
305,137216,1,FUSE0,9,FUSE1,9,FUSE2,9,1,5
