station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,30394.8,0.0,554950.2,6,0.009115,0.0842,388.204,4608,0.988803,0.054662,0.05477,,
2,Station 1.1: Bottom cover,30406.2,0.0,554976.8,6,0.009109,0.0849,391.343,4611,0.993186,0.054683,0.054788,,
3,Station 2: Drill station,87498.6432,45.6,555046.2,2,0.002375,0.6664,5611.724,8421,0.982392,0.157358,0.157655,,
4,Station 2.1: Drill station,8320.0,72.2,554282.0,2,0.012469,0.2951,236.704,802,0.981804,0.014963,0.015012,,
5,Station 3: Robot cell,553255.6,95.0,555668.4,3,0.734663,382.9589,749067.5476,1956,1.0,0.99498,0.995828,,
6,Station 3.1: Robot cell,550973.6656,135.0,555402.8,2,0.204863,229.898,444392.7407,1933,0.991012,0.990876,0.992267,,
7,Station 3.2: Robot cell,549754.8318,181.6,555787.4,1,0.230284,222.5177,423228.6387,1902,0.976678,0.988684,0.989469,,
8,Station 3.3: Robot cell,548596.0,185.4,555515.2,2,0.178442,177.5717,344311.4867,1939,1.0,0.9866,0.987874,,
9,Station 3.4: Robot cell,543168.0,232.0,555561.8,1,0.059865,127.8557,245610.8868,1921,1.0,0.976838,0.9781,,
10,Station 4: Inspection,21616.2936,377.6,555868.5,1,0.000127,1.0046,7940.5418,7904,0.991155,0.038875,0.038914,,
11,Station 4.1: Inspection,2760.5454,4739.2,551766.696,0,0.0,0.0,0.0,1313,0.991132,0.004965,0.005046,,
12,Station 5: Top cover,846.4,28029.5,522447.096,0,0.0,0.0312,5.7768,185,0.993046,0.001522,0.001712,,
13,Station 5.1: Top cover,48014.8774,510.7,556004.1,14,0.012396,2.9018,26218.1244,9035,0.988449,0.08635,0.086436,,
14,Station 6: Packaging,236.0,108675.3,467828.696,0,0.0,0.0,0.0,59,0.995045,0.000424,0.000657,,
15,Station 6.1: Packaging,36606.182,554.3,556047.1,0,0.0,0.0045,41.5398,9156,0.995116,0.065833,0.065899,,
