station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,518562.6347,0.0,577080.0121,14,0.174239,26.2611,122534.2134,4666,0.988602,0.895799,0.898597,,
2,Station 1.1: Bottom cover,519873.0773,0.0,577154.0121,13,0.214774,29.9418,140247.6201,4684,0.990746,0.898063,0.900753,,
3,Station 2: Drill station,562240.3654,151.2,577327.7121,7,0.183812,75.876,245610.5415,3237,0.985602,0.971251,0.974122,,
4,Station 2.1: Drill station,555900.3256,191.2,577463.7121,7,0.204056,74.7777,239662.604,3205,0.988438,0.960299,0.962977,,
5,Station 2.2: Drill station,523983.2935,303.4,577428.5121,6,0.145889,63.3572,191085.2349,3016,0.988348,0.905163,0.90792,,
6,Station 3: Robot cell,571747.716,367.0,578098.7121,3,0.366435,249.3351,502160.987,2014,0.983992,0.987675,0.989642,,
7,Station 3.1: Robot cell,567326.2414,447.0,578104.7121,3,0.370764,241.5884,477620.3285,1977,0.974014,0.980037,0.982115,,
8,Station 3.2: Robot cell,561951.2746,599.2,577766.7121,3,0.232794,198.8706,392968.2362,1976,0.985118,0.970752,0.973636,,
9,Station 3.3: Robot cell,542661.8696,603.8,577952.3121,3,0.092195,131.0043,250087.2899,1909,0.989084,0.93743,0.939921,,
10,Station 3.4: Robot cell,514877.003,800.6,577897.5121,3,0.081066,111.7191,201206.0148,1801,0.987574,0.889432,0.892185,,
11,Station 4: Inspection,554655.8982,649.6,578255.3121,14,0.704526,138.411,660497.2165,4772,0.991437,0.958149,0.960267,,
12,Station 4.1: Inspection,534071.547,966.4,578306.5121,10,0.305598,87.6007,402174.8372,4591,0.991221,0.92259,0.925055,,
13,Station 5: Top cover,513718.9237,1300.2,578581.1121,4,0.074866,42.8228,128125.7053,2992,0.988428,0.887432,0.889894,,
14,Station 5.1: Top cover,544410.2694,1015.8,578474.7121,4,0.1201,52.6639,167945.0969,3189,0.993522,0.94045,0.942769,,
15,Station 5.2: Top cover,560096.9208,878.2,578727.6858,4,0.248555,91.198,299767.8513,3287,0.993491,0.967548,0.969278,,
16,Station 6: Packaging,523097.6342,1448.8,578807.7121,3,0.023023,35.0001,161140.3169,4604,1.0,0.903633,0.906018,,
17,Station 6.1: Packaging,542417.3949,1092.0,578882.6858,14,0.132282,58.1213,276366.6658,4755,0.995049,0.937007,0.938778,,
