disruption_type,station_id,start_time,end_time,efficiency_percentage,order_id,due_date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2
emergency_order,,8894,,,358,14400,5,FUSE0,5,FUSE1,6,FUSE2,7
Misaligned Material,3,9832,13643,0,,,,,,,,,
emergency_order,,14353,,,368,20397,5,FUSE0,7,FUSE1,6,FUSE2,6
efficiency_loss,5.2,17099,17637,44,,,,,,,,,
PLC Failure,5,30360,31815,0,,,,,,,,,
Misaligned Material,3.4,33137,36738,0,,,,,,,,,
emergency_order,,37731,,,364,43251,5,FUSE0,6,FUSE1,6,FUSE2,6
efficiency_loss,4.1,40390,40762,75,,,,,,,,,
emergency_order,,70119,,,353,78465,5,FUSE0,6,FUSE1,5,FUSE2,5
efficiency_loss,6,80590,80790,26,,,,,,,,,
Cover Wrong Orientation,3.1,86518,89437,0,,,,,,,,,
efficiency_loss,2,114256,114578,75,,,,,,,,,
emergency_order,,133748,,,356,144764,5,FUSE0,7,FUSE1,6,FUSE2,6
emergency_order,,142139,,,369,146852,5,FUSE0,4,FUSE1,5,FUSE2,6
Drill To Dull,2,147817,151292,0,,,,,,,,,
efficiency_loss,6.1,151907,152109,47,,,,,,,,,
Bottom Cover Misaligned,1.1,153319,154322,0,,,,,,,,,
Bottom Cover Stuck,1.1,167046,168001,0,,,,,,,,,
emergency_order,,167055,,,360,173686,5,FUSE0,6,FUSE1,6,FUSE2,6
PLC Failure,6,177371,178767,0,,,,,,,,,
PLC Failure,5.1,178228,179647,0,,,,,,,,,
Misaligned Material,3.1,192330,195374,0,,,,,,,,,
efficiency_loss,5.2,201934,202673,36,,,,,,,,,
emergency_order,,229044,,,361,235514,5,FUSE0,7,FUSE1,6,FUSE2,5
emergency_order,,232932,,,365,246664,5,FUSE0,6,FUSE1,6,FUSE2,6
efficiency_loss,5,236790,237404,80,,,,,,,,,
PLC Failure,4.1,240253,241703,0,,,,,,,,,
Top Cover Stuck,5,246938,247929,0,,,,,,,,,
Top Cover Misaligned,5.1,247867,248748,0,,,,,,,,,
emergency_order,,256535,,,354,262454,5,FUSE0,6,FUSE1,5,FUSE2,6
efficiency_loss,1,274018,274467,78,,,,,,,,,
Drill Broke,2.1,311736,318241,0,,,,,,,,,
emergency_order,,313348,,,352,326312,5,FUSE0,4,FUSE1,6,FUSE2,6
Camera Dirty,4.1,331297,332249,0,,,,,,,,,
emergency_order,,350455,,,363,360189,5,FUSE0,5,FUSE1,6,FUSE2,7
Bottom Cover Stuck,1,351754,352765,0,,,,,,,,,
inspection_failure,6,353226,,,,,,,,,,,
emergency_order,,359287,,,355,368883,5,FUSE0,6,FUSE1,6,FUSE2,6
inspection_failure,6.1,363962,,,,,,,,,,,
efficiency_loss,4.1,367961,368310,12,,,,,,,,,
Top Cover Stuck,5.2,369253,370272,0,,,,,,,,,
emergency_order,,374105,,,359,379955,5,FUSE0,6,FUSE1,7,FUSE2,5
Top Cover Misaligned,5,377384,378269,0,,,,,,,,,
emergency_order,,378863,,,351,384798,5,FUSE0,5,FUSE1,6,FUSE2,5
Camera Dirty,4,401846,402904,0,,,,,,,,,
emergency_order,,405864,,,357,414416,5,FUSE0,7,FUSE1,6,FUSE2,5
emergency_order,,406243,,,367,411780,5,FUSE0,5,FUSE1,5,FUSE2,6
Top Cover Stuck,5.1,434730,435663,0,,,,,,,,,
efficiency_loss,5.1,443391,443963,16,,,,,,,,,
Top Cover Misaligned,5.2,458147,459133,0,,,,,,,,,
efficiency_loss,5,459590,460261,24,,,,,,,,,
emergency_order,,468818,,,362,488588,5,FUSE0,6,FUSE1,5,FUSE2,6
Drill To Dull,2.2,470710,474595,0,,,,,,,,,
efficiency_loss,4,488098,488466,76,,,,,,,,,
Drill To Dull,2.1,498178,501432,0,,,,,,,,,
efficiency_loss,2.2,500562,500860,57,,,,,,,,,
PLC Failure,1,504274,505780,0,,,,,,,,,
inspection_failure,4.1,513277,,,,,,,,,,,
inspection_failure,4,520861,,,,,,,,,,,
Misaligned Material,3.2,558412,561740,0,,,,,,,,,
emergency_order,,561011,,,366,573536,5,FUSE0,6,FUSE1,5,FUSE2,5
Bottom Cover Misaligned,1,567186,568002,0,,,,,,,,,
efficiency_loss,2.1,569724,570003,79,,,,,,,,,
efficiency_loss,1.1,569751,570370,14,,,,,,,,,
efficiency_loss,4,570453,570791,59,,,,,,,,,
