disruption_type,station_id,start_time,end_time,efficiency_percentage,order_id,due_date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2
Bottom Cover Misaligned,1,14996,15872,0,,,,,,,,,
Camera Dirty,4,19039,19972,0,,,,,,,,,
emergency_order,,19575,,,354,32107,5,FUSE0,8,FUSE1,8,FUSE2,9
efficiency_loss,1.1,35608,36068,78,,,,,,,,,
emergency_order,,37452,,,358,48622,5,FUSE0,8,FUSE1,8,FUSE2,10
efficiency_loss,6.1,47441,47603,86,,,,,,,,,
emergency_order,,53159,,,357,67564,5,FUSE0,10,FUSE1,9,FUSE2,11
efficiency_loss,5.1,55624,56310,27,,,,,,,,,
Bottom Cover Misaligned,1.1,79937,80910,0,,,,,,,,,
Drill To Dull,2.1,82304,85324,0,,,,,,,,,
efficiency_loss,4.1,84072,84424,24,,,,,,,,,
PLC Failure,1,88015,89585,0,,,,,,,,,
emergency_order,,139180,,,362,149703,5,FUSE0,7,FUSE1,9,FUSE2,9
Top Cover Stuck,5,149563,150571,0,,,,,,,,,
emergency_order,,166630,,,365,181333,5,FUSE0,10,FUSE1,12,FUSE2,12
efficiency_loss,4,166708,167065,20,,,,,,,,,
Drill To Dull,2,178227,181680,0,,,,,,,,,
efficiency_loss,5.1,190475,191152,71,,,,,,,,,
emergency_order,,194310,,,359,210997,5,FUSE0,11,FUSE1,10,FUSE2,8
emergency_order,,216041,,,355,231814,5,FUSE0,7,FUSE1,8,FUSE2,8
emergency_order,,223770,,,351,234587,5,FUSE0,10,FUSE1,10,FUSE2,9
efficiency_loss,2,244315,244591,15,,,,,,,,,
emergency_order,,246877,,,353,257065,5,FUSE0,9,FUSE1,10,FUSE2,9
emergency_order,,274965,,,361,287816,5,FUSE0,8,FUSE1,11,FUSE2,10
emergency_order,,281597,,,360,293215,5,FUSE0,12,FUSE1,9,FUSE2,9
efficiency_loss,5,293648,294334,33,,,,,,,,,
emergency_order,,293778,,,364,320717,5,FUSE0,9,FUSE1,10,FUSE2,9
efficiency_loss,4,294616,294976,35,,,,,,,,,
efficiency_loss,1,341786,342223,22,,,,,,,,,
inspection_failure,4,342363,,,,,,,,,,,
Misaligned Material,3.3,346645,349678,0,,,,,,,,,
inspection_failure,6,352209,,,,,,,,,,,
inspection_failure,6.1,356469,,,,,,,,,,,
Cover Wrong Orientation,3.2,366504,369147,0,,,,,,,,,
inspection_failure,4.1,373931,,,,,,,,,,,
emergency_order,,374198,,,356,383040,5,FUSE0,10,FUSE1,8,FUSE2,10
Top Cover Stuck,5.1,379693,380778,0,,,,,,,,,
Misaligned Material,3,426168,429043,0,,,,,,,,,
Top Cover Misaligned,5.1,429299,430246,0,,,,,,,,,
efficiency_loss,2.1,452004,452304,10,,,,,,,,,
emergency_order,,457761,,,363,467525,5,FUSE0,6,FUSE1,7,FUSE2,8
emergency_order,,476722,,,352,501045,5,FUSE0,10,FUSE1,9,FUSE2,11
efficiency_loss,4.1,480311,480656,38,,,,,,,,,
Cover Wrong Orientation,3,481894,484969,0,,,,,,,,,
Bottom Cover Stuck,1.1,485125,486171,0,,,,,,,,,
Top Cover Misaligned,5,490783,491698,0,,,,,,,,,
efficiency_loss,5,492121,492832,13,,,,,,,,,
Misaligned Material,3.2,494868,498298,0,,,,,,,,,
PLC Failure,6,495897,497297,0,,,,,,,,,
efficiency_loss,6,511439,511614,47,,,,,,,,,
Camera Dirty,4.1,546580,547459,0,,,,,,,,,
Bottom Cover Stuck,1,567900,568985,0,,,,,,,,,
