station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,491660.4,0.0,518783.3,14,0.027613,3.6259,15888.5,4382,1.0,0.944516,0.947718,,
2,Station 1.1: Bottom cover,491660.4,0.0,518860.5,13,0.023505,3.1396,13757.8,4382,1.0,0.944516,0.947577,,
3,Station 2: Drill station,516963.2,151.2,519118.8,1,0.000342,25.6012,74857.9,2924,1.0,0.993125,0.996138,,
4,Station 2.1: Drill station,516432.8,191.2,519083.6,0,0.0,23.903,69820.8,2921,1.0,0.992106,0.99526,,
5,Station 2.2: Drill station,516079.2,303.4,519042.8,0,0.0,23.8066,69491.4,2919,1.0,0.991427,0.994872,,
6,Station 3: Robot cell,519377.2,367.0,519802.8,1,0.15231,232.639,407816.2,1753,1.0,0.997763,0.999887,,
7,Station 3.1: Robot cell,519278.4,447.0,519810.4,1,0.115165,222.6304,390493.7,1754,1.0,0.997573,0.999836,,
8,Station 3.2: Robot cell,519023.6,599.2,519674.4,1,0.071347,201.6498,353290.4,1752,1.0,0.997083,0.999901,,
9,Station 3.3: Robot cell,518748.4,603.8,519604.0,1,0.046697,186.0884,326771.2,1756,1.0,0.996555,0.999515,,
10,Station 3.4: Robot cell,518502.8,800.6,519520.5,1,0.014866,161.8127,283010.4,1749,1.0,0.996083,0.999581,,
11,Station 4: Inspection,516381.6,649.6,519967.1,2,0.347074,97.1589,426624.8,4391,1.0,0.992008,0.994347,,
12,Station 4.1: Inspection,514264.8,966.4,520020.3,2,0.289046,88.3426,386322.3,4373,1.0,0.987941,0.990773,,
13,Station 5: Top cover,509542.0,1300.2,520292.9,0,0.0,7.5954,22140.6,2915,1.0,0.978868,0.98179,,
14,Station 5.1: Top cover,510765.6,1015.8,520330.1,0,0.0,7.7759,22721.2,2922,1.0,0.981219,0.983538,,
15,Station 5.2: Top cover,511639.6,878.2,520213.2,0,0.0,8.3721,24505.0,2927,1.0,0.982898,0.985182,,
16,Station 6: Packaging,507616.0,1448.8,520507.9,0,0.0,37.0076,161945.2,4376,1.0,0.975168,0.977954,,
17,Station 6.1: Packaging,509008.0,1092.0,520541.9,0,0.0,37.2536,163468.7,4388,1.0,0.977843,0.979898,,
