station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,73603.2,0.0,77506.1,14,0.18417,24.2731,15947.4,657,1.0,0.928431,0.949644,,
2,Station 1.1: Bottom cover,73603.2,0.0,77545.3,13,0.156773,20.9709,13777.9,657,1.0,0.928431,0.949164,,
3,Station 2: Drill station,77438.4,151.2,77789.9,1,0.002278,34.5171,15153.0,439,1.0,0.976808,0.99742,,
4,Station 2.1: Drill station,77261.6,191.2,77693.9,0,0.0,31.342,13727.8,438,1.0,0.974578,0.996889,,
5,Station 2.2: Drill station,77261.6,303.4,77769.1,0,0.0,32.884,14403.2,438,1.0,0.974578,0.997365,,
6,Station 3: Robot cell,77855.2,367.0,78280.8,1,0.245283,227.7306,60348.6,265,1.0,0.982065,0.999248,,
7,Station 3.1: Robot cell,78041.2,447.0,78559.6,1,0.2,220.3483,58392.3,265,1.0,0.984412,0.999086,,
8,Station 3.2: Robot cell,77651.2,599.2,78293.6,1,0.019011,180.162,47382.6,263,1.0,0.979492,0.999444,,
9,Station 3.3: Robot cell,77509.2,603.8,78350.8,1,0.030651,171.3835,44731.1,261,1.0,0.977701,0.996941,,
10,Station 3.4: Robot cell,77400.4,800.6,78415.2,1,0.026616,153.3027,40318.6,263,1.0,0.976329,0.99724,,
11,Station 4: Inspection,77380.8,649.6,78651.8,2,0.332322,96.21,63402.4,659,1.0,0.976081,0.992034,,
12,Station 4.1: Inspection,76910.4,966.4,78756.2,2,0.296183,88.2144,57780.4,655,1.0,0.970148,0.988695,,
13,Station 5: Top cover,76212.8,1300.2,79062.0,0,0.0,6.26,2735.6,437,1.0,0.961348,0.98008,,
14,Station 5.1: Top cover,76387.6,1015.8,78900.0,0,0.0,6.1973,2714.4,438,1.0,0.963553,0.980784,,
15,Station 5.2: Top cover,76737.2,878.2,78937.6,0,0.0,7.3032,3213.4,440,1.0,0.967963,0.983062,,
16,Station 6: Packaging,75864.0,1448.8,79277.0,0,0.0,36.6928,24033.8,655,1.0,0.956948,0.974762,,
17,Station 6.1: Packaging,76328.0,1092.0,79170.6,0,0.0,36.9687,24362.4,659,1.0,0.962801,0.977579,,
