disruption_type,station_id,start_time,end_time,efficiency_percentage,order_id,due_date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2
inspection_failure,6.1,4497,,,,,,,,,,,
Drill To Dull,2,16188,19543,0,,,,,,,,,
Bottom Cover Misaligned,1.1,57944,58830,0,,,,,,,,,
inspection_failure,4.1,60869,,,,,,,,,,,
Top Cover Misaligned,5.1,95180,96134,0,,,,,,,,,
Drill To Dull,2.2,106380,109879,0,,,,,,,,,
Top Cover Stuck,5.2,113796,114920,0,,,,,,,,,
efficiency_loss,2,120239,120582,17,,,,,,,,,
emergency_order,,124535,,,357,141287,5,FUSE0,15,FUSE1,12,FUSE2,11
emergency_order,,130817,,,358,145458,5,FUSE0,16,FUSE1,15,FUSE2,10
Top Cover Stuck,5.2,136714,137776,0,,,,,,,,,
emergency_order,,142375,,,360,158825,5,FUSE0,13,FUSE1,13,FUSE2,13
Cover Wrong Orientation,3,153338,156247,0,,,,,,,,,
Top Cover Misaligned,5,167426,168198,0,,,,,,,,,
PLC Failure,1,176157,177489,0,,,,,,,,,
Misaligned Material,3,179731,182748,0,,,,,,,,,
efficiency_loss,5,190573,191170,30,,,,,,,,,
emergency_order,,198256,,,363,210791,5,FUSE0,13,FUSE1,12,FUSE2,15
efficiency_loss,2.2,199129,199399,39,,,,,,,,,
emergency_order,,208176,,,351,259811,5,FUSE0,11,FUSE1,11,FUSE2,15
efficiency_loss,4,215091,215462,47,,,,,,,,,
Top Cover Misaligned,5.2,216667,217827,0,,,,,,,,,
Top Cover Stuck,5,234649,235698,0,,,,,,,,,
efficiency_loss,6,236129,236324,73,,,,,,,,,
Misaligned Material,3.2,237614,241066,0,,,,,,,,,
efficiency_loss,5.2,244488,245172,59,,,,,,,,,
Bottom Cover Misaligned,1,257467,258290,0,,,,,,,,,
efficiency_loss,2.1,257753,258099,69,,,,,,,,,
emergency_order,,268643,,,362,280507,5,FUSE0,11,FUSE1,15,FUSE2,12
efficiency_loss,6.1,271510,271692,31,,,,,,,,,
emergency_order,,276046,,,361,294397,5,FUSE0,13,FUSE1,14,FUSE2,10
efficiency_loss,5,279902,280599,25,,,,,,,,,
PLC Failure,2,280372,281912,0,,,,,,,,,
efficiency_loss,4.1,297110,297458,50,,,,,,,,,
emergency_order,,297463,,,356,348325,5,FUSE0,11,FUSE1,12,FUSE2,15
efficiency_loss,4,298432,298768,18,,,,,,,,,
PLC Failure,4.1,300396,301833,0,,,,,,,,,
efficiency_loss,1,307889,308408,88,,,,,,,,,
emergency_order,,318778,,,353,334021,5,FUSE0,13,FUSE1,16,FUSE2,15
Camera Dirty,4,318848,319702,0,,,,,,,,,
efficiency_loss,1.1,346495,347000,34,,,,,,,,,
emergency_order,,355245,,,355,372159,5,FUSE0,12,FUSE1,15,FUSE2,14
Top Cover Stuck,5.1,389987,391054,0,,,,,,,,,
Bottom Cover Stuck,1.1,391471,392480,0,,,,,,,,,
PLC Failure,5,393350,394741,0,,,,,,,,,
emergency_order,,400288,,,359,453012,5,FUSE0,14,FUSE1,13,FUSE2,15
efficiency_loss,5.1,452161,452856,47,,,,,,,,,
efficiency_loss,5.1,462690,463374,46,,,,,,,,,
Cover Wrong Orientation,3.3,463663,466934,0,,,,,,,,,
Camera Dirty,4.1,508390,509193,0,,,,,,,,,
inspection_failure,4,514960,,,,,,,,,,,
Misaligned Material,3.1,528662,533710,0,,,,,,,,,
efficiency_loss,5.2,531440,532071,21,,,,,,,,,
emergency_order,,540618,,,352,553472,5,FUSE0,10,FUSE1,10,FUSE2,17
Bottom Cover Stuck,1,542715,543673,0,,,,,,,,,
Drill To Dull,2.1,546684,550350,0,,,,,,,,,
inspection_failure,6,549807,,,,,,,,,,,
efficiency_loss,4.1,557979,558288,74,,,,,,,,,
Misaligned Material,3.4,560139,563355,0,,,,,,,,,
emergency_order,,561758,,,354,576000,5,FUSE0,14,FUSE1,14,FUSE2,11
