disruption_type,station_id,start_time,end_time,efficiency_percentage,order_id,due_date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2
emergency_order,,12181,,,372,21036,5,FUSE0,5,FUSE1,6,FUSE2,4
efficiency_loss,4.1,18548,18879,56,,,,,,,,,
emergency_order,,46316,,,353,51933,5,FUSE0,7,FUSE1,5,FUSE2,6
Bottom Cover Stuck,1,53730,54758,0,,,,,,,,,
inspection_failure,6,73174,,,,,,,,,,,
Bottom Cover Misaligned,1,76762,77720,0,,,,,,,,,
inspection_failure,4,102791,,,,,,,,,,,
Drill To Dull,2.2,103267,106035,0,,,,,,,,,
emergency_order,,117981,,,362,135005,5,FUSE0,6,FUSE1,7,FUSE2,9
Misaligned Material,3.2,118241,122447,0,,,,,,,,,
efficiency_loss,4.1,122859,123166,31,,,,,,,,,
Drill To Dull,2.1,129262,132300,0,,,,,,,,,
Camera Dirty,4,135691,136528,0,,,,,,,,,
PLC Failure,6.1,140134,141567,0,,,,,,,,,
Bottom Cover Misaligned,1.1,154713,155491,0,,,,,,,,,
Top Cover Misaligned,5.2,159992,160842,0,,,,,,,,,
efficiency_loss,5.1,164724,165449,38,,,,,,,,,
Bottom Cover Misaligned,1.1,179821,180699,0,,,,,,,,,
Cover Wrong Orientation,3.1,186066,189206,0,,,,,,,,,
emergency_order,,186992,,,351,199196,5,FUSE0,5,FUSE1,5,FUSE2,5
Cover Wrong Orientation,3.4,192092,195542,0,,,,,,,,,
Camera Dirty,4.1,194930,195935,0,,,,,,,,,
efficiency_loss,1.1,203757,204195,20,,,,,,,,,
Misaligned Material,3.4,217844,221611,0,,,,,,,,,
efficiency_loss,4,219133,219464,15,,,,,,,,,
efficiency_loss,5.2,220512,221199,58,,,,,,,,,
Cover Wrong Orientation,3.2,240463,243826,0,,,,,,,,,
emergency_order,,256250,,,364,262610,5,FUSE0,5,FUSE1,6,FUSE2,6
emergency_order,,257974,,,363,267202,5,FUSE0,6,FUSE1,6,FUSE2,7
Top Cover Misaligned,5.1,284963,285750,0,,,,,,,,,
Top Cover Stuck,5.2,289964,290998,0,,,,,,,,,
emergency_order,,313225,,,365,319326,5,FUSE0,5,FUSE1,6,FUSE2,5
emergency_order,,323311,,,359,330567,5,FUSE0,6,FUSE1,7,FUSE2,6
efficiency_loss,6,323448,323633,85,,,,,,,,,
inspection_failure,4.1,333293,,,,,,,,,,,
Top Cover Misaligned,5,333419,334333,0,,,,,,,,,
efficiency_loss,2.1,333629,333897,18,,,,,,,,,
emergency_order,,335089,,,358,345917,5,FUSE0,7,FUSE1,6,FUSE2,6
emergency_order,,341637,,,352,349973,5,FUSE0,5,FUSE1,6,FUSE2,6
efficiency_loss,5,344847,345461,43,,,,,,,,,
Bottom Cover Stuck,1.1,357231,358253,0,,,,,,,,,
emergency_order,,358321,,,366,364924,5,FUSE0,5,FUSE1,5,FUSE2,6
PLC Failure,5,359317,360735,0,,,,,,,,,
efficiency_loss,1,360813,361254,86,,,,,,,,,
inspection_failure,6.1,362669,,,,,,,,,,,
Cover Wrong Orientation,3.3,364818,368415,0,,,,,,,,,
efficiency_loss,2,377119,377390,31,,,,,,,,,
emergency_order,,377294,,,370,392652,5,FUSE0,7,FUSE1,6,FUSE2,7
emergency_order,,420181,,,367,425949,5,FUSE0,5,FUSE1,6,FUSE2,6
emergency_order,,423737,,,354,429261,5,FUSE0,5,FUSE1,5,FUSE2,6
emergency_order,,426875,,,371,434115,5,FUSE0,7,FUSE1,5,FUSE2,8
emergency_order,,440577,,,356,451436,5,FUSE0,7,FUSE1,7,FUSE2,7
emergency_order,,448097,,,360,456371,5,FUSE0,6,FUSE1,7,FUSE2,5
emergency_order,,448409,,,369,454265,5,FUSE0,7,FUSE1,8,FUSE2,4
Misaligned Material,3.3,448755,453478,0,,,,,,,,,
efficiency_loss,6.1,448793,448979,89,,,,,,,,,
Misaligned Material,3.1,449288,452958,0,,,,,,,,,
Top Cover Stuck,5,456007,457025,0,,,,,,,,,
efficiency_loss,5,471116,471854,77,,,,,,,,,
emergency_order,,491550,,,355,497196,5,FUSE0,5,FUSE1,5,FUSE2,5
efficiency_loss,5.1,495807,496510,56,,,,,,,,,
emergency_order,,501844,,,368,510897,5,FUSE0,7,FUSE1,6,FUSE2,6
Top Cover Stuck,5.1,514420,515508,0,,,,,,,,,
efficiency_loss,4,525493,525885,71,,,,,,,,,
Drill Broke,2.1,526618,532964,0,,,,,,,,,
emergency_order,,535245,,,357,543708,5,FUSE0,7,FUSE1,6,FUSE2,7
Drill To Dull,2,535841,539210,0,,,,,,,,,
efficiency_loss,2.2,547410,547676,14,,,,,,,,,
PLC Failure,1,549962,551275,0,,,,,,,,,
emergency_order,,566674,,,361,572096,5,FUSE0,6,FUSE1,6,FUSE2,5
efficiency_loss,5.2,568230,568860,33,,,,,,,,,
