station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,518609.9226,0.0,571640.1088,14,0.1243,23.8687,110798.6514,4642,0.987689,0.904241,0.907232,,
2,Station 1.1: Bottom cover,518713.0719,0.0,572105.5644,18,0.130295,22.3453,104441.7484,4674,0.993584,0.904421,0.906674,,
3,Station 2: Drill station,559845.2671,151.2,572229.1644,7,0.238332,91.3653,293647.9426,3214,0.986941,0.976138,0.978617,,
4,Station 2.1: Drill station,554258.2015,191.2,572361.3644,7,0.157103,66.6417,212520.4391,3189,0.988217,0.966397,0.968695,,
5,Station 2.2: Drill station,525917.3258,303.4,571932.5644,6,0.140526,65.4779,196630.0581,3003,0.98711,0.916982,0.920032,,
6,Station 3: Robot cell,566873.3602,367.0,572533.9644,3,0.353622,247.8349,492695.8714,1988,0.987209,0.988392,0.990748,,
7,Station 3.1: Robot cell,563404.9605,447.0,572781.1644,4,0.328101,227.4811,449275.1706,1975,0.988759,0.982345,0.984399,,
8,Station 3.2: Robot cell,557090.0,599.2,572389.5644,4,0.165822,162.43,320312.0128,1972,1.0,0.971334,0.974291,,
9,Station 3.3: Robot cell,541164.802,603.8,572666.1644,2,0.037614,132.535,246647.5733,1861,0.974263,0.943567,0.945989,,
10,Station 3.4: Robot cell,508424.8,800.6,569997.0864,4,0.096629,117.3737,208925.2136,1780,1.0,0.886482,0.893232,,
11,Station 4: Inspection,551284.2923,649.6,572882.7644,10,0.519781,115.7712,550144.6102,4752,0.996026,0.961211,0.963391,,
12,Station 4.1: Inspection,530161.4139,966.4,572977.7644,9,0.273523,80.909,369754.0307,4570,0.99683,0.924382,0.926837,,
13,Station 5: Top cover,520209.5825,1332.6,573029.5644,5,0.123347,50.5037,152723.1214,3024,0.993158,0.90703,0.909939,,
14,Station 5.1: Top cover,542448.1087,1015.8,573263.5644,5,0.152008,60.4585,189718.8021,3138,0.984386,0.945805,0.947925,,
15,Station 5.2: Top cover,556495.9093,878.2,573355.8404,6,0.382979,114.8806,372557.9205,3243,0.992869,0.970298,0.972083,,
16,Station 6: Packaging,521227.9366,1551.2,573530.8404,2,0.015324,34.0525,155551.7237,4568,1.0,0.908805,0.91127,,
17,Station 6.1: Packaging,540245.5403,1092.0,573452.0404,3,0.041588,40.4515,191618.7449,4737,1.0,0.941964,0.943891,,
