order_id,due date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,planned_day
144,7766,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1
5,9710,1,FUSE0,7,FUSE1,7,FUSE2,7,1,1
291,11177,2,FUSE0,8,FUSE1,8,FUSE2,9,1,1
1,13111,4,FUSE0,10,FUSE1,10,FUSE2,9,1,1
59,13312,1,FUSE0,8,FUSE1,8,FUSE2,8,1,1
248,15237,1,FUSE0,8,FUSE1,8,FUSE2,8,1,1
3,15346,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1
181,16321,3,FUSE0,9,FUSE1,10,FUSE2,10,1,1
171,16935,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1
247,22580,2,FUSE0,10,FUSE1,10,FUSE2,11,1,1
257,24405,1,FUSE0,7,FUSE1,7,FUSE2,7,1,1
108,25704,3,FUSE0,8,FUSE1,8,FUSE2,9,1,1
2,25746,2,FUSE0,9,FUSE1,9,FUSE2,9,1,1
184,27141,1,FUSE0,9,FUSE1,9,FUSE2,9,1,1
84,28926,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1
94,30786,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1
148,40817,1,FUSE0,8,FUSE1,8,FUSE2,8,1,1
47,45045,3,FUSE0,8,FUSE1,8,FUSE2,7,1,1
324,45699,4,FUSE0,10,FUSE1,9,FUSE2,10,1,2
19,48749,1,FUSE0,8,FUSE1,8,FUSE2,7,1,2
310,50661,1,FUSE0,8,FUSE1,8,FUSE2,9,1,2
288,51060,2,FUSE0,8,FUSE1,8,FUSE2,7,1,2
161,54808,2,FUSE0,7,FUSE1,7,FUSE2,8,1,2
323,55856,1,FUSE0,8,FUSE1,8,FUSE2,8,1,2
347,58222,4,FUSE0,11,FUSE1,11,FUSE2,10,1,2
178,58306,1,FUSE0,8,FUSE1,8,FUSE2,8,1,2
278,61766,1,FUSE0,7,FUSE1,7,FUSE2,8,1,2
63,61895,1,FUSE0,7,FUSE1,8,FUSE2,8,1,2
139,61952,3,FUSE0,10,FUSE1,9,FUSE2,10,1,2
36,66493,2,FUSE0,9,FUSE1,9,FUSE2,9,1,2
119,67551,4,FUSE0,9,FUSE1,9,FUSE2,8,1,2
154,67691,2,FUSE0,9,FUSE1,9,FUSE2,10,1,2
299,67777,1,FUSE0,8,FUSE1,8,FUSE2,7,1,2
296,70193,5,FUSE0,9,FUSE1,9,FUSE2,8,1,2
112,71682,3,FUSE0,9,FUSE1,9,FUSE2,8,1,2
113,73082,1,FUSE0,9,FUSE1,9,FUSE2,9,1,3
123,73522,1,FUSE0,8,FUSE1,8,FUSE2,8,1,3
