station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,36511.0641,0.0,597690.2075,13,0.044168,10.2889,47987.3138,4664,0.988868,0.060966,0.061087,,
2,Station 1.1: Bottom cover,34575.6237,0.0,597803.0274,6,0.010338,3.265,15159.4706,4643,0.993656,0.057734,0.057838,,
3,Station 2: Drill station,98681.4498,45.6,597872.4274,14,0.033871,14.9301,130474.3237,8739,0.986916,0.164777,0.165067,,
4,Station 2.1: Drill station,22132.1412,72.2,594312.0075,7,0.1,243.3083,138685.7449,570,0.959033,0.036956,0.037244,,
5,Station 3: Robot cell,551148.0,95.0,598076.2075,5,0.179407,184.6319,355047.1762,1923,1.0,0.920302,0.921681,,
6,Station 3.1: Robot cell,556641.8943,135.0,598201.4274,12,0.50959,323.9696,624937.2666,1929,0.988655,0.929475,0.930736,,
7,Station 3.2: Robot cell,558103.3433,181.6,598577.8274,12,0.280538,256.7009,495946.1219,1932,0.98929,0.931916,0.932665,,
8,Station 3.3: Robot cell,556533.6969,185.4,598542.6075,12,0.442018,297.2474,571606.7938,1923,0.986899,0.929295,0.930103,,
9,Station 3.4: Robot cell,553703.3185,232.0,598493.0274,10,0.330553,234.8311,450406.0581,1918,0.990447,0.924569,0.925521,,
10,Station 4: Inspection,21600.7911,377.6,598643.7075,14,0.024393,7.0903,56970.3053,8035,0.991903,0.036069,0.036106,,
11,Station 4.1: Inspection,2648.1,4339.2,598678.9274,0,0.0,0.0035,4.3962,1262,0.996849,0.004422,0.004456,,
12,Station 5: Top cover,662.4,8762.9,598814.5274,0,0.0,0.0,0.0,144,0.988343,0.001106,0.001123,,
13,Station 5.1: Top cover,45643.5208,510.7,598779.3075,14,0.02414,3.3558,30722.1715,9155,0.99383,0.076215,0.076293,,
14,Station 6: Packaging,44.0,167967.1943,511994.5149,0,0.0,0.0,0.0,11,1.0,7.3e-05,0.000128,,
15,Station 6.1: Packaging,37162.5882,554.3,598877.5274,0,0.0,0.0102,95.0508,9283,1.0,0.062054,0.062111,,
