disruption_type,station_id,start_time,end_time,efficiency_percentage,order_id,due_date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2
Drill To Dull,2,16188,19543,0,,,,,,,,,
Bottom Cover Misaligned,1.1,57944,58830,0,,,,,,,,,
PLC Failure,6.1,78676,80121,0,,,,,,,,,
efficiency_loss,5.1,79799,80446,35,,,,,,,,,
PLC Failure,3.1,81434,82711,0,,,,,,,,,
inspection_failure,6.1,93322,,,,,,,,,,,
emergency_order,,101757,,,357,113344,5,FUSE0,9,FUSE1,8,FUSE2,10
Camera Dirty,4.1,109886,110827,0,,,,,,,,,
efficiency_loss,2,120239,120582,17,,,,,,,,,
emergency_order,,125277,,,364,137180,5,FUSE0,11,FUSE1,8,FUSE2,8
inspection_failure,6,125921,,,,,,,,,,,
emergency_order,,131669,,,365,142025,5,FUSE0,11,FUSE1,10,FUSE2,8
emergency_order,,136611,,,354,153159,5,FUSE0,9,FUSE1,9,FUSE2,11
efficiency_loss,4,139420,139756,74,,,,,,,,,
emergency_order,,143223,,,367,155033,5,FUSE0,9,FUSE1,10,FUSE2,9
inspection_failure,4,155386,,,,,,,,,,,
Cover Wrong Orientation,3.1,157100,160204,0,,,,,,,,,
PLC Failure,1,176157,177489,0,,,,,,,,,
Top Cover Stuck,5.1,176818,177871,0,,,,,,,,,
emergency_order,,177561,,,359,189254,5,FUSE0,7,FUSE1,7,FUSE2,11
Misaligned Material,3,178501,181691,0,,,,,,,,,
emergency_order,,200488,,,358,209973,5,FUSE0,10,FUSE1,9,FUSE2,12
efficiency_loss,5.1,227432,228181,64,,,,,,,,,
emergency_order,,228487,,,355,278097,5,FUSE0,9,FUSE1,9,FUSE2,10
emergency_order,,257454,,,353,284855,5,FUSE0,9,FUSE1,9,FUSE2,7
Bottom Cover Misaligned,1,257467,258290,0,,,,,,,,,
efficiency_loss,2.1,257753,258099,69,,,,,,,,,
emergency_order,,270098,,,369,278840,5,FUSE0,8,FUSE1,11,FUSE2,9
PLC Failure,4,272930,274417,0,,,,,,,,,
emergency_order,,277689,,,368,290584,5,FUSE0,9,FUSE1,10,FUSE2,7
PLC Failure,2,280372,281912,0,,,,,,,,,
emergency_order,,298677,,,352,337409,5,FUSE0,12,FUSE1,12,FUSE2,8
emergency_order,,299234,,,363,335373,5,FUSE0,8,FUSE1,8,FUSE2,11
efficiency_loss,1,307889,308408,88,,,,,,,,,
Misaligned Material,3.3,319728,323667,0,,,,,,,,,
emergency_order,,321029,,,360,331768,5,FUSE0,9,FUSE1,11,FUSE2,11
efficiency_loss,1.1,346495,347000,34,,,,,,,,,
emergency_order,,357557,,,362,369521,5,FUSE0,9,FUSE1,11,FUSE2,9
efficiency_loss,6,361520,361743,89,,,,,,,,,
emergency_order,,376040,,,356,388290,5,FUSE0,9,FUSE1,9,FUSE2,8
Top Cover Misaligned,5,376661,377521,0,,,,,,,,,
Bottom Cover Stuck,1.1,391471,392480,0,,,,,,,,,
efficiency_loss,4,398295,398705,45,,,,,,,,,
emergency_order,,402894,,,366,440554,5,FUSE0,10,FUSE1,9,FUSE2,11
Camera Dirty,4,429983,430733,0,,,,,,,,,
Top Cover Stuck,5,443294,444331,0,,,,,,,,,
Top Cover Stuck,5,451836,452853,0,,,,,,,,,
efficiency_loss,5,479624,480376,49,,,,,,,,,
Cover Wrong Orientation,3.4,486128,490381,0,,,,,,,,,
emergency_order,,503043,,,351,515382,5,FUSE0,9,FUSE1,9,FUSE2,10
Misaligned Material,3.2,510199,514223,0,,,,,,,,,
inspection_failure,4.1,526515,,,,,,,,,,,
efficiency_loss,6.1,538954,539147,55,,,,,,,,,
Bottom Cover Stuck,1,542715,543673,0,,,,,,,,,
Drill To Dull,2.1,546684,550350,0,,,,,,,,,
efficiency_loss,4.1,554647,554894,56,,,,,,,,,
efficiency_loss,4.1,563621,563951,59,,,,,,,,,
emergency_order,,565410,,,361,575656,5,FUSE0,10,FUSE1,10,FUSE2,7
Top Cover Misaligned,5.1,565759,566723,0,,,,,,,,,
