station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,30676.3285,0.0,564502.2,6,0.009038,0.0848,394.2354,4647,0.987751,0.054245,0.054342,,
2,Station 1.1: Bottom cover,30597.6,0.0,564416.4,6,0.009052,0.0818,379.4444,4640,0.99313,0.054106,0.054211,,
3,Station 2: Drill station,90618.4097,45.6,564551.6,2,0.001892,1.3993,11832.0649,8456,0.983928,0.160241,0.160527,,
4,Station 2.1: Drill station,8777.6,72.2,563595.0,2,0.011792,0.3456,293.0666,848,0.989406,0.015521,0.015576,,
5,Station 3: Robot cell,555074.0,95.0,564981.4,2,0.586504,327.7988,646091.4362,1971,1.0,0.981542,0.982629,,
6,Station 3.1: Robot cell,554632.9354,135.0,565021.4,2,0.356221,269.8349,522670.2328,1937,0.983696,0.980762,0.981849,,
7,Station 3.2: Robot cell,554002.1104,181.6,565100.4,2,0.233746,218.1768,422826.6685,1938,0.987054,0.979646,0.980676,,
8,Station 3.3: Robot cell,553681.2,185.4,565166.2,2,0.261358,197.4104,386726.9466,1959,1.0,0.979079,0.98,,
9,Station 3.4: Robot cell,546286.4,232.0,565212.8,2,0.062112,117.7943,227578.5114,1932,1.0,0.966002,0.966911,,
10,Station 4: Inspection,19888.1036,377.6,565333.9,1,0.000375,1.1515,9217.7753,8005,0.991318,0.035168,0.035203,,
11,Station 4.1: Inspection,2699.2246,4682.4,553121.4889,0,0.0,0.0099,12.6778,1284,0.990731,0.004773,0.004922,,
12,Station 5: Top cover,1462.8,6752.3,536585.4889,0,0.0,0.0236,7.5,318,0.987321,0.002587,0.002761,,
13,Station 5.1: Top cover,48111.2892,510.7,565469.5,1,0.001449,2.521,22610.9741,8969,0.98843,0.085076,0.085159,,
14,Station 6: Packaging,56.0,110090.2889,536408.2889,0,0.0,0.0,0.0,14,0.994895,9.9e-05,0.000131,,
15,Station 6.1: Packaging,37070.7096,554.3,565512.5,0,0.0,0.0051,47.045,9270,1.0,0.065552,0.065617,,
