order_id,due date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2
1,13111,4,FUSE0,10,FUSE1,10,FUSE2,9
2,25746,2,FUSE0,9,FUSE1,9,FUSE2,9
3,15346,1,FUSE0,8,FUSE1,8,FUSE2,7
4,323894,2,FUSE0,8,FUSE1,8,FUSE2,9
5,9710,1,FUSE0,7,FUSE1,7,FUSE2,7
6,88839,4,FUSE0,7,FUSE1,7,FUSE2,8
7,96008,5,FUSE0,9,FUSE1,9,FUSE2,9
8,452803,1,FUSE0,9,FUSE1,9,FUSE2,10
9,255134,1,FUSE0,8,FUSE1,8,FUSE2,7
10,204323,2,FUSE0,9,FUSE1,9,FUSE2,9
11,262355,1,FUSE0,10,FUSE1,10,FUSE2,10
12,537821,2,FUSE0,8,FUSE1,8,FUSE2,9
13,408074,3,FUSE0,8,FUSE1,7,FUSE2,8
14,106927,1,FUSE0,8,FUSE1,8,FUSE2,9
15,197946,1,FUSE0,10,FUSE1,9,FUSE2,9
16,131233,1,FUSE0,9,FUSE1,9,FUSE2,8
17,247862,2,FUSE0,9,FUSE1,9,FUSE2,9
18,220782,1,FUSE0,8,FUSE1,8,FUSE2,8
19,48749,1,FUSE0,8,FUSE1,8,FUSE2,7
20,217663,1,FUSE0,8,FUSE1,8,FUSE2,9
21,463214,2,FUSE0,9,FUSE1,9,FUSE2,9
22,564753,2,FUSE0,10,FUSE1,10,FUSE2,9
23,349665,1,FUSE0,8,FUSE1,7,FUSE2,8
24,476101,1,FUSE0,9,FUSE1,8,FUSE2,9
25,294610,2,FUSE0,9,FUSE1,9,FUSE2,9
26,541871,4,FUSE0,7,FUSE1,7,FUSE2,8
27,101759,1,FUSE0,9,FUSE1,9,FUSE2,10
28,312043,1,FUSE0,9,FUSE1,9,FUSE2,9
29,137182,2,FUSE0,8,FUSE1,8,FUSE2,9
30,174263,4,FUSE0,8,FUSE1,8,FUSE2,9
31,106310,2,FUSE0,8,FUSE1,8,FUSE2,8
32,527141,1,FUSE0,9,FUSE1,8,FUSE2,9
33,499150,1,FUSE0,7,FUSE1,7,FUSE2,7
34,525427,3,FUSE0,9,FUSE1,9,FUSE2,8
35,309227,2,FUSE0,9,FUSE1,9,FUSE2,9
36,66493,2,FUSE0,9,FUSE1,9,FUSE2,9
37,319267,1,FUSE0,9,FUSE1,9,FUSE2,8
38,313942,5,FUSE0,8,FUSE1,8,FUSE2,8
39,120593,1,FUSE0,8,FUSE1,8,FUSE2,7
40,560346,1,FUSE0,9,FUSE1,9,FUSE2,9
41,260238,1,FUSE0,8,FUSE1,8,FUSE2,7
42,148878,1,FUSE0,9,FUSE1,9,FUSE2,9
43,320031,2,FUSE0,8,FUSE1,8,FUSE2,8
44,283866,2,FUSE0,9,FUSE1,9,FUSE2,9
45,180557,2,FUSE0,10,FUSE1,9,FUSE2,10
46,178506,1,FUSE0,8,FUSE1,8,FUSE2,7
47,45045,3,FUSE0,8,FUSE1,8,FUSE2,7
48,128166,2,FUSE0,8,FUSE1,8,FUSE2,9
49,321875,1,FUSE0,8,FUSE1,8,FUSE2,7
50,446235,2,FUSE0,8,FUSE1,8,FUSE2,9
51,558669,1,FUSE0,9,FUSE1,8,FUSE2,9
52,494446,1,FUSE0,7,FUSE1,7,FUSE2,8
53,391094,1,FUSE0,8,FUSE1,8,FUSE2,8
54,515218,1,FUSE0,9,FUSE1,9,FUSE2,8
55,173677,2,FUSE0,8,FUSE1,8,FUSE2,9
56,200143,1,FUSE0,8,FUSE1,8,FUSE2,8
57,381851,1,FUSE0,8,FUSE1,8,FUSE2,9
58,188346,1,FUSE0,8,FUSE1,8,FUSE2,9
59,13312,1,FUSE0,8,FUSE1,8,FUSE2,8
60,158630,3,FUSE0,8,FUSE1,7,FUSE2,7
61,445663,4,FUSE0,9,FUSE1,9,FUSE2,8
62,266649,1,FUSE0,8,FUSE1,8,FUSE2,9
63,61895,1,FUSE0,7,FUSE1,8,FUSE2,8
64,484528,1,FUSE0,9,FUSE1,9,FUSE2,10
65,253650,1,FUSE0,8,FUSE1,9,FUSE2,9
66,88603,1,FUSE0,8,FUSE1,8,FUSE2,8
67,157110,1,FUSE0,9,FUSE1,10,FUSE2,10
68,476609,5,FUSE0,9,FUSE1,9,FUSE2,8
69,259881,1,FUSE0,6,FUSE1,6,FUSE2,7
70,250200,1,FUSE0,8,FUSE1,8,FUSE2,8
71,529596,3,FUSE0,8,FUSE1,8,FUSE2,8
72,151823,1,FUSE0,8,FUSE1,8,FUSE2,8
73,326669,1,FUSE0,10,FUSE1,10,FUSE2,10
74,385784,3,FUSE0,8,FUSE1,8,FUSE2,9
75,116240,5,FUSE0,10,FUSE1,9,FUSE2,10
76,544183,1,FUSE0,8,FUSE1,8,FUSE2,8
77,152902,4,FUSE0,8,FUSE1,8,FUSE2,7
78,429151,1,FUSE0,8,FUSE1,7,FUSE2,8
79,298834,1,FUSE0,7,FUSE1,7,FUSE2,8
80,532899,1,FUSE0,8,FUSE1,8,FUSE2,7
81,327887,2,FUSE0,7,FUSE1,7,FUSE2,8
82,499119,2,FUSE0,9,FUSE1,9,FUSE2,9
83,456316,1,FUSE0,8,FUSE1,8,FUSE2,8
84,28926,1,FUSE0,8,FUSE1,8,FUSE2,9
85,162721,2,FUSE0,8,FUSE1,9,FUSE2,9
86,524423,2,FUSE0,7,FUSE1,7,FUSE2,8
87,474774,2,FUSE0,8,FUSE1,8,FUSE2,8
88,239735,2,FUSE0,7,FUSE1,7,FUSE2,8
89,547706,1,FUSE0,8,FUSE1,8,FUSE2,8
90,559827,1,FUSE0,8,FUSE1,8,FUSE2,8
91,336332,3,FUSE0,8,FUSE1,8,FUSE2,8
92,126280,1,FUSE0,8,FUSE1,9,FUSE2,8
93,120438,3,FUSE0,10,FUSE1,10,FUSE2,9
94,30786,1,FUSE0,8,FUSE1,8,FUSE2,9
95,287966,1,FUSE0,9,FUSE1,9,FUSE2,9
96,531703,1,FUSE0,8,FUSE1,8,FUSE2,10
97,399273,1,FUSE0,8,FUSE1,8,FUSE2,7
98,75568,4,FUSE0,9,FUSE1,9,FUSE2,10
99,518163,2,FUSE0,8,FUSE1,8,FUSE2,8
100,174836,1,FUSE0,7,FUSE1,7,FUSE2,7
101,188369,1,FUSE0,8,FUSE1,8,FUSE2,9
102,465335,2,FUSE0,8,FUSE1,8,FUSE2,7
103,84764,1,FUSE0,8,FUSE1,8,FUSE2,8
104,350034,1,FUSE0,7,FUSE1,7,FUSE2,8
105,339742,1,FUSE0,9,FUSE1,10,FUSE2,10
106,86530,1,FUSE0,8,FUSE1,8,FUSE2,9
107,369502,1,FUSE0,8,FUSE1,8,FUSE2,8
108,25704,3,FUSE0,8,FUSE1,8,FUSE2,9
