disruption_type,station_id,start_time,end_time,efficiency_percentage,order_id,due_date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2
emergency_order,,1052,,,354,29003,5,FUSE0,9,FUSE1,6,FUSE2,9
Bottom Cover Misaligned,1,14996,16747,0,,,,,,,,,
emergency_order,,23623,,,366,33733,5,FUSE0,8,FUSE1,7,FUSE2,7
emergency_order,,35116,,,360,44486,5,FUSE0,8,FUSE1,7,FUSE2,10
efficiency_loss,2.1,41152,41667,58,,,,,,,,,
efficiency_loss,4.1,45626,46398,84,,,,,,,,,
emergency_order,,51137,,,364,63542,5,FUSE0,7,FUSE1,7,FUSE2,7
inspection_failure,6,66147,,,,,,,,,,,
Drill To Dull,2.2,69444,76837,0,,,,,,,,,
inspection_failure,4,74346,,,,,,,,,,,
Bottom Cover Stuck,1.1,87615,89593,0,,,,,,,,,
PLC Failure,1,88015,91155,0,,,,,,,,,
efficiency_loss,5,100517,102116,55,,,,,,,,,
emergency_order,,116883,,,361,123745,5,FUSE0,6,FUSE1,7,FUSE2,7
efficiency_loss,5.2,150587,152075,51,,,,,,,,,
Top Cover Stuck,5.2,161441,163595,0,,,,,,,,,
Drill To Dull,2,162058,169548,0,,,,,,,,,
Misaligned Material,3,173098,180434,0,,,,,,,,,
Misaligned Material,3.3,175235,182594,0,,,,,,,,,
emergency_order,,179398,,,352,186984,5,FUSE0,8,FUSE1,8,FUSE2,8
emergency_order,,188801,,,355,210037,5,FUSE0,7,FUSE1,8,FUSE2,7
efficiency_loss,2,193313,193912,27,,,,,,,,,
Top Cover Stuck,5.1,210519,212673,0,,,,,,,,,
emergency_order,,230669,,,363,242887,5,FUSE0,8,FUSE1,8,FUSE2,9
emergency_order,,238363,,,357,245845,5,FUSE0,7,FUSE1,8,FUSE2,9
efficiency_loss,5.2,251779,253119,48,,,,,,,,,
Camera Dirty,4.1,253785,255603,0,,,,,,,,,
emergency_order,,266624,,,356,274010,5,FUSE0,7,FUSE1,9,FUSE2,8
Top Cover Misaligned,5,278920,280624,0,,,,,,,,,
Misaligned Material,3.1,290185,296632,0,,,,,,,,,
emergency_order,,291055,,,358,299431,5,FUSE0,8,FUSE1,9,FUSE2,10
Cover Wrong Orientation,3.3,303722,311124,0,,,,,,,,,
efficiency_loss,6.1,317429,317817,23,,,,,,,,,
efficiency_loss,5.1,318967,320291,46,,,,,,,,,
efficiency_loss,4.1,329766,330572,50,,,,,,,,,
Top Cover Misaligned,5.2,331388,333324,0,,,,,,,,,
emergency_order,,367319,,,367,382193,5,FUSE0,6,FUSE1,6,FUSE2,6
Top Cover Misaligned,5.1,379693,381606,0,,,,,,,,,
efficiency_loss,4,387034,387760,29,,,,,,,,,
PLC Failure,5.1,429299,432039,0,,,,,,,,,
Drill To Dull,2.1,457241,463999,0,,,,,,,,,
efficiency_loss,6,465849,466219,88,,,,,,,,,
Bottom Cover Misaligned,1.1,475411,477113,0,,,,,,,,,
inspection_failure,4.1,490783,,,,,,,,,,,
emergency_order,,494668,,,362,521532,5,FUSE0,6,FUSE1,7,FUSE2,10
efficiency_loss,2.2,494984,495658,61,,,,,,,,,
emergency_order,,501920,,,365,510608,5,FUSE0,7,FUSE1,8,FUSE2,7
emergency_order,,520694,,,359,529049,5,FUSE0,7,FUSE1,6,FUSE2,7
emergency_order,,526994,,,351,534070,5,FUSE0,7,FUSE1,8,FUSE2,7
Camera Dirty,4,529534,531813,0,,,,,,,,,
inspection_failure,6.1,543552,,,,,,,,,,,
efficiency_loss,5.1,553807,555029,53,,,,,,,,,
emergency_order,,555971,,,353,562969,5,FUSE0,6,FUSE1,7,FUSE2,6
Top Cover Stuck,5.1,559992,562140,0,,,,,,,,,
Top Cover Stuck,5,562269,564489,0,,,,,,,,,
efficiency_loss,5,567261,568676,20,,,,,,,,,
efficiency_loss,4,568917,569668,47,,,,,,,,,
Bottom Cover Stuck,1,569470,571640,0,,,,,,,,,
