station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,30478.8,0.0,555963.6,6,0.004542,0.0502,232.2,4624,0.988157,0.054706,0.054822,,
2,Station 1.1: Bottom cover,30498.6,0.0,556056.8,6,0.004541,0.0483,223.4,4625,0.990385,0.054742,0.054848,,
3,Station 2: Drill station,96520.213,45.6,556126.2,2,0.000824,1.5127,12844.3128,8491,0.98504,0.173243,0.173572,,
4,Station 2.1: Drill station,14538.8162,72.2,555424.0,2,0.006579,8.9612,6810.4932,760,0.987987,0.026096,0.026179,,
5,Station 3: Robot cell,556645.5344,95.0,556918.0,3,0.619907,354.2198,686832.1204,1939,0.98673,0.999117,0.999681,,
6,Station 3.1: Robot cell,555247.2,135.0,556667.6,2,0.318462,248.9443,485441.2897,1950,1.0,0.996607,0.99769,,
7,Station 3.2: Robot cell,554880.2192,181.6,556570.4,2,0.381273,260.2477,503058.8506,1933,0.98967,0.995948,0.997289,,
8,Station 3.3: Robot cell,551276.4657,185.4,556753.2,2,0.055324,149.7341,286890.6152,1916,0.987057,0.98948,0.990493,,
9,Station 3.4: Robot cell,544489.4163,232.0,556437.4,1,0.044997,127.123,240135.3558,1889,0.985829,0.977298,0.978936,,
10,Station 4: Inspection,21106.2889,377.6,556959.1,1,0.000384,1.0428,8151.6404,7817,0.991661,0.037883,0.037921,,
11,Station 4.1: Inspection,3008.132,1834.0,556641.1,0,0.0,0.0105,15.0,1426,0.99631,0.005399,0.005422,,
12,Station 5: Top cover,1021.2,46011.7,553869.5,0,0.0,0.0482,10.7,222,0.992973,0.001833,0.002011,,
13,Station 5.1: Top cover,48956.6244,510.7,557094.7,1,0.001441,2.5684,23169.8739,9021,0.986668,0.087872,0.087959,,
14,Station 6: Packaging,236.0,91498.5,467120.5,0,0.0,0.0373,2.2,59,1.0,0.000424,0.000628,,
15,Station 6.1: Packaging,39333.506,554.3,557137.7,0,0.0,0.2838,2605.5144,9181,0.995346,0.070599,0.07067,,
