station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,519747.6153,0.0,574351.0356,14,0.114677,18.8373,88045.3398,4674,0.989192,0.902256,0.90493,,
2,Station 1.1: Bottom cover,519839.9021,0.0,574317.0356,13,0.18079,25.3236,118641.1268,4685,0.993422,0.902416,0.905144,,
3,Station 2: Drill station,563529.0968,151.2,574495.2356,6,0.3228,108.428,350005.5722,3228,0.983003,0.978258,0.98117,,
4,Station 2.1: Drill station,559163.0004,191.2,574631.2356,6,0.262418,96.2957,308242.452,3201,0.982436,0.970679,0.973405,,
5,Station 2.2: Drill station,528849.2159,303.4,574596.0356,6,0.205552,75.9024,229680.7383,3026,0.987654,0.918056,0.920871,,
6,Station 3: Robot cell,570743.2,367.0,575335.3331,4,0.583826,303.6562,615814.7899,2028,1.0,0.990782,0.992652,,
7,Station 3.1: Robot cell,566362.4029,447.0,575178.9356,3,0.145729,168.198,334713.9429,1990,0.986029,0.983177,0.985438,,
8,Station 3.2: Robot cell,558548.8333,599.2,574929.3356,3,0.140888,156.4754,306535.4064,1959,0.986324,0.969613,0.972522,,
9,Station 3.3: Robot cell,540159.6,603.8,575164.5356,2,0.057248,120.9553,230298.85,1904,1.0,0.93769,0.940126,,
10,Station 3.4: Robot cell,506684.7349,800.6,575054.9356,3,0.053947,108.9556,191870.8713,1761,0.987574,0.879579,0.882335,,
11,Station 4: Inspection,552259.4432,649.6,575514.3356,10,0.452046,105.1492,501035.8247,4765,0.99662,0.958695,0.960677,,
12,Station 4.1: Inspection,533132.9095,966.4,575441.9356,10,0.250434,78.5668,362035.9444,4608,0.996297,0.925492,0.928034,,
13,Station 5: Top cover,519523.9146,1300.2,575722.5356,10,0.115575,39.7914,120846.5697,3037,0.993612,0.901867,0.904428,,
14,Station 5.1: Top cover,545048.5602,1015.8,575820.1356,5,0.1153,51.6329,164347.5951,3183,0.992985,0.946177,0.948233,,
15,Station 5.2: Top cover,558870.2918,878.2,575739.7356,7,0.251077,85.2011,276903.5151,3250,0.98748,0.970171,0.972182,,
16,Station 6: Packaging,527100.3681,1448.8,576053.5356,14,0.092508,44.088,203025.0928,4605,0.995063,0.91502,0.917327,,
17,Station 6.1: Packaging,544300.5341,1092.0,575971.5356,15,0.150368,54.9733,261398.0875,4755,0.994502,0.944878,0.946808,,
