station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,37438.459,0.0,585864.1025,12,0.048172,12.7373,59228.3962,4650,0.988201,0.06377,0.063903,,
2,Station 1.1: Bottom cover,34370.1391,0.0,585952.1025,11,0.033168,6.4806,30089.5071,4643,0.993383,0.058544,0.058657,,
3,Station 2: Drill station,99407.345,45.6,586021.5025,14,0.063125,14.7627,128391.4169,8697,0.984518,0.169324,0.169644,,
4,Station 2.1: Drill station,12302.8129,72.2,583273.1025,2,0.008251,10.0102,6066.1775,606,0.989795,0.020956,0.021095,,
5,Station 3: Robot cell,551627.6,95.0,586372.9025,4,0.397933,270.5281,523471.9145,1935,1.0,0.939606,0.940898,,
6,Station 3.1: Robot cell,558019.1713,135.0,586600.5025,13,0.299323,287.3408,551981.581,1921,0.984295,0.950493,0.951495,,
7,Station 3.2: Robot cell,557452.7573,181.6,586487.3025,12,0.463289,316.9101,612904.2119,1934,0.98753,0.949528,0.950789,,
8,Station 3.3: Robot cell,548568.4,185.4,586648.5025,2,0.076443,151.4163,291173.5202,1923,1.0,0.934395,0.935384,,
9,Station 3.4: Robot cell,548140.8,232.0,586784.5025,2,0.185804,182.7688,350184.9858,1916,1.0,0.933666,0.934513,,
10,Station 4: Inspection,22014.6334,377.6,586905.6025,13,0.023131,7.3277,59874.9323,8171,0.991637,0.037498,0.037534,,
11,Station 4.1: Inspection,4615.8762,4682.4,582241.6025,4,0.008961,6.3933,7134.8812,1116,0.991071,0.007862,0.007992,,
12,Station 5: Top cover,2319.8922,19713.5097,485499.4112,0,0.0,18.9261,1873.6809,99,0.987787,0.003952,0.004981,,
13,Station 5.1: Top cover,49357.5409,510.7,587041.2025,14,0.047764,9.7604,89707.807,9191,0.988855,0.084072,0.084152,,
14,Station 6: Packaging,56.0,33570.5097,302807.2803,0,0.0,0.0,0.0,14,0.995082,9.5e-05,0.000208,,
15,Station 6.1: Packaging,37073.1612,554.3,587084.2025,0,0.0,0.0029,26.6975,9270,1.0,0.063148,0.063208,,
