disruption_type,station_id,start_time,end_time,efficiency_percentage,order_id,due_date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2
PLC Failure,2,4429,7342,0,,,,,,,,,
efficiency_loss,4,5807,6601,54,,,,,,,,,
PLC Failure,6,10847,13734,0,,,,,,,,,
emergency_order,,27105,,,357,39678,5,FUSE0,8,FUSE1,9,FUSE2,12
PLC Failure,4,45539,48611,0,,,,,,,,,
Drill To Dull,2,46954,53130,0,,,,,,,,,
efficiency_loss,5,47144,48672,40,,,,,,,,,
PLC Failure,5,66347,69391,0,,,,,,,,,
Bottom Cover Misaligned,1.1,75522,77361,0,,,,,,,,,
emergency_order,,77712,,,354,87007,5,FUSE0,8,FUSE1,10,FUSE2,9
PLC Failure,5.1,94157,97115,0,,,,,,,,,
efficiency_loss,4.1,95512,96172,53,,,,,,,,,
efficiency_loss,2,97036,97597,13,,,,,,,,,
emergency_order,,97450,,,367,115785,5,FUSE0,8,FUSE1,8,FUSE2,8
Bottom Cover Stuck,1.1,105969,108015,0,,,,,,,,,
efficiency_loss,1,136528,137525,56,,,,,,,,,
efficiency_loss,2.1,145824,146406,23,,,,,,,,,
emergency_order,,147369,,,360,169563,5,FUSE0,10,FUSE1,8,FUSE2,10
emergency_order,,167942,,,365,184777,5,FUSE0,10,FUSE1,8,FUSE2,11
efficiency_loss,6,170931,171306,40,,,,,,,,,
inspection_failure,6,185217,,,,,,,,,,,
inspection_failure,6.1,192271,,,,,,,,,,,
Drill To Dull,2.1,202107,208098,0,,,,,,,,,
efficiency_loss,5.1,216972,218318,12,,,,,,,,,
PLC Failure,1,217544,220369,0,,,,,,,,,
emergency_order,,222309,,,356,238422,5,FUSE0,6,FUSE1,7,FUSE2,12
efficiency_loss,5,224326,225716,22,,,,,,,,,
emergency_order,,242286,,,353,251434,5,FUSE0,9,FUSE1,8,FUSE2,9
inspection_failure,4,247566,,,,,,,,,,,
efficiency_loss,6.1,256871,257255,62,,,,,,,,,
emergency_order,,266209,,,366,295578,5,FUSE0,7,FUSE1,7,FUSE2,10
Camera Dirty,4.1,268240,270601,0,,,,,,,,,
Top Cover Misaligned,5,269810,271972,0,,,,,,,,,
Top Cover Misaligned,5.1,274985,276607,0,,,,,,,,,
emergency_order,,283805,,,352,296314,5,FUSE0,8,FUSE1,8,FUSE2,10
efficiency_loss,5.1,295041,296134,69,,,,,,,,,
Bottom Cover Stuck,1,308078,310362,0,,,,,,,,,
Top Cover Stuck,5,314653,316617,0,,,,,,,,,
emergency_order,,323968,,,369,341678,5,FUSE0,10,FUSE1,11,FUSE2,9
emergency_order,,373087,,,361,383733,5,FUSE0,9,FUSE1,7,FUSE2,10
emergency_order,,381494,,,351,406755,5,FUSE0,10,FUSE1,9,FUSE2,9
emergency_order,,402173,,,368,414432,5,FUSE0,10,FUSE1,9,FUSE2,10
emergency_order,,402751,,,358,412723,5,FUSE0,8,FUSE1,11,FUSE2,8
Misaligned Material,3.1,404715,413935,0,,,,,,,,,
Misaligned Material,3.2,421428,428749,0,,,,,,,,,
emergency_order,,428913,,,362,438003,5,FUSE0,10,FUSE1,7,FUSE2,10
Top Cover Stuck,5.1,440749,442712,0,,,,,,,,,
emergency_order,,443395,,,363,466786,5,FUSE0,9,FUSE1,9,FUSE2,9
efficiency_loss,4.1,473005,473694,84,,,,,,,,,
efficiency_loss,4,480540,481260,32,,,,,,,,,
inspection_failure,4.1,489228,,,,,,,,,,,
efficiency_loss,1.1,494443,495728,65,,,,,,,,,
Bottom Cover Misaligned,1,501248,503066,0,,,,,,,,,
emergency_order,,523236,,,359,538630,5,FUSE0,8,FUSE1,8,FUSE2,9
PLC Failure,4.1,526264,529145,0,,,,,,,,,
emergency_order,,530760,,,364,541276,5,FUSE0,11,FUSE1,10,FUSE2,10
Camera Dirty,4,537720,539558,0,,,,,,,,,
emergency_order,,563450,,,355,576000,5,FUSE0,8,FUSE1,9,FUSE2,8
