station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,30690.0,0.0,563603.5843,6,0.004511,0.0465,216.4146,4655,0.991337,0.054356,0.054453,,
2,Station 1.1: Bottom cover,32127.2613,0.0,563536.1843,13,0.024133,3.8106,17685.0464,4641,0.993482,0.056902,0.05701,,
3,Station 2: Drill station,95830.6157,45.6,563652.9843,2,0.002468,2.4935,21214.7548,8508,0.986734,0.169729,0.170031,,
4,Station 2.1: Drill station,8265.131,72.2,563300.9843,2,0.006274,0.222,176.972,797,0.988031,0.014639,0.014675,,
5,Station 3: Robot cell,560448.8829,95.0,564208.1843,2,0.696985,380.4664,744572.6508,1957,0.988397,0.992628,0.993504,,
6,Station 3.1: Robot cell,559967.1107,135.0,564371.3014,3,0.433592,295.4677,571729.9165,1935,0.975525,0.991775,0.992434,,
7,Station 3.2: Robot cell,558424.8,181.6,564220.1843,2,0.163876,190.6278,375727.3694,1971,1.0,0.989043,0.990047,,
8,Station 3.3: Robot cell,555439.9101,185.4,564267.5843,2,0.134785,169.9514,327836.2006,1929,0.98666,0.983757,0.984679,,
9,Station 3.4: Robot cell,548483.4145,232.0,564082.1843,1,0.027311,125.3505,238667.4176,1904,0.985817,0.971436,0.972747,,
10,Station 4: Inspection,21551.168,377.6,564432.4014,1,0.001002,1.4205,11337.2959,7981,0.991468,0.03817,0.038208,,
11,Station 4.1: Inspection,4264.6925,6300.4,563227.2014,1,0.000763,2.9298,3840.9182,1311,0.996924,0.007553,0.007658,,
12,Station 5: Top cover,2396.4861,39591.1,559414.0014,1,0.005076,7.7299,1522.7986,197,0.988107,0.004244,0.00461,,
13,Station 5.1: Top cover,46656.7371,510.7,564568.0014,12,0.011209,4.7353,43091.2576,9100,0.987916,0.082635,0.082716,,
14,Station 6: Packaging,248.0,112290.928,493086.6014,0,0.0,0.0,0.0,62,1.0,0.000439,0.000651,,
15,Station 6.1: Packaging,39887.8558,554.3,564611.0014,0,0.0,0.3264,3011.0267,9225,0.994688,0.070647,0.070716,,
