order_id,due date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2
1,462190,1,FUSE0,9,FUSE1,9,FUSE2,10
2,209690,2,FUSE0,8,FUSE1,7,FUSE2,8
3,44002,2,FUSE0,8,FUSE1,8,FUSE2,8
4,415134,1,FUSE0,8,FUSE1,8,FUSE2,8
5,443960,1,FUSE0,9,FUSE1,10,FUSE2,10
6,38493,2,FUSE0,8,FUSE1,8,FUSE2,9
7,509468,1,FUSE0,8,FUSE1,8,FUSE2,9
8,395547,1,FUSE0,8,FUSE1,8,FUSE2,8
9,257129,2,FUSE0,8,FUSE1,8,FUSE2,8
10,410383,2,FUSE0,8,FUSE1,8,FUSE2,8
11,85513,1,FUSE0,10,FUSE1,10,FUSE2,9
12,558508,3,FUSE0,10,FUSE1,10,FUSE2,9
13,210503,5,FUSE0,8,FUSE1,8,FUSE2,9
14,66532,3,FUSE0,8,FUSE1,8,FUSE2,7
15,325057,1,FUSE0,8,FUSE1,8,FUSE2,8
16,135122,3,FUSE0,9,FUSE1,9,FUSE2,9
17,206609,2,FUSE0,9,FUSE1,9,FUSE2,10
18,119428,1,FUSE0,9,FUSE1,9,FUSE2,8
19,413724,1,FUSE0,9,FUSE1,9,FUSE2,9
20,220003,1,FUSE0,8,FUSE1,8,FUSE2,8
21,523275,3,FUSE0,7,FUSE1,7,FUSE2,8
22,394415,1,FUSE0,8,FUSE1,8,FUSE2,8
23,148416,4,FUSE0,7,FUSE1,8,FUSE2,8
24,241328,1,FUSE0,8,FUSE1,7,FUSE2,8
25,26039,1,FUSE0,8,FUSE1,8,FUSE2,8
26,292428,1,FUSE0,9,FUSE1,9,FUSE2,10
27,14243,1,FUSE0,9,FUSE1,9,FUSE2,8
28,378704,2,FUSE0,9,FUSE1,9,FUSE2,9
29,328135,2,FUSE0,7,FUSE1,8,FUSE2,8
30,562490,3,FUSE0,8,FUSE1,8,FUSE2,9
31,43443,1,FUSE0,9,FUSE1,9,FUSE2,8
32,525940,1,FUSE0,7,FUSE1,7,FUSE2,7
33,515983,1,FUSE0,9,FUSE1,9,FUSE2,8
34,35101,1,FUSE0,8,FUSE1,8,FUSE2,7
35,473263,1,FUSE0,8,FUSE1,8,FUSE2,8
