station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,4382.4,0.0,78052.2,6,0.031627,0.2783,184.8,664,1.0,0.055377,0.056147,,
2,Station 1.1: Bottom cover,4382.4,0.0,78061.4,6,0.031627,0.2783,184.8,664,1.0,0.055377,0.05614,,
3,Station 2: Drill station,12844.0,45.6,78130.8,2,0.005668,0.6732,831.4,1235,1.0,0.1623,0.164487,,
4,Station 2.1: Drill station,967.2,72.2,77887.2,2,0.053763,0.8581,79.8,93,1.0,0.012222,0.012429,,
5,Station 3: Robot cell,78444.0,95.0,78539.0,2,0.180451,254.4271,67677.6,266,1.0,0.991239,1.0,,
6,Station 3.1: Robot cell,78588.8,135.0,78723.8,1,0.164179,230.9746,61901.2,268,1.0,0.993069,1.0,,
7,Station 3.2: Robot cell,78389.2,181.6,78570.8,1,0.09434,218.0875,57793.2,265,1.0,0.990547,1.0,,
8,Station 3.3: Robot cell,78507.6,185.4,78693.0,1,0.060377,192.4611,51002.2,265,1.0,0.992043,1.0,,
9,Station 3.4: Robot cell,78605.6,232.0,78837.6,1,0.033457,163.0461,43859.4,269,1.0,0.993281,1.0,,
10,Station 4: Inspection,2427.6,377.6,78958.7,0,0.0,0.0381,44.0,1156,1.0,0.030676,0.030893,,
11,Station 4.1: Inspection,361.2,4771.6,78600.1,0,0.0,0.0029,0.5,172,1.0,0.004564,0.004892,,
12,Station 5: Top cover,0.0,,,0,0.0,0.0,0.0,0,1.0,0.0,0.0,,
13,Station 5.1: Top cover,6108.8,510.7,79094.3,0,0.0,0.1306,173.5,1328,1.0,0.077192,0.077736,,
14,Station 6: Packaging,0.0,,,0,0.0,0.0,0.0,0,1.0,0.0,0.0,,
15,Station 6.1: Packaging,5312.0,554.3,79137.3,0,0.0,0.0,0.0,1328,1.0,0.067124,0.067597,,
