station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,4389.0,0.0,78227.6,6,0.031579,0.2779,184.8,665,1.0,0.05534,0.056106,,
2,Station 1.1: Bottom cover,4382.4,0.0,78158.2,6,0.031627,0.2783,184.8,664,1.0,0.055257,0.056071,,
3,Station 2: Drill station,12989.6,45.6,78277.0,2,0.005604,0.5491,685.8,1249,1.0,0.163784,0.166041,,
4,Station 2.1: Drill station,832.0,72.2,77922.0,2,0.0625,0.9975,79.8,80,1.0,0.010491,0.010687,,
5,Station 3: Robot cell,78739.6,95.0,78834.6,2,0.19403,253.2164,67862.0,268,1.0,0.992819,1.0,,
6,Station 3.1: Robot cell,78727.2,135.0,78862.2,1,0.06391,214.6278,57091.0,266,1.0,0.992663,1.0,,
7,Station 3.2: Robot cell,78730.0,181.6,78911.6,1,0.157895,230.8925,61417.4,266,1.0,0.992698,1.0,,
8,Station 3.3: Robot cell,78844.0,185.4,79029.4,1,0.06367,191.7978,51210.0,267,1.0,0.994136,1.0,,
9,Station 3.4: Robot cell,78498.8,232.0,78730.8,1,0.037453,175.2262,46785.4,267,1.0,0.989783,1.0,,
10,Station 4: Inspection,2268.0,377.6,79130.5,0,0.0,0.0036,3.9,1080,1.0,0.028597,0.028799,,
11,Station 4.1: Inspection,522.9,1834.0,77608.5,0,0.0,0.0,0.0,249,1.0,0.006593,0.006901,,
12,Station 5: Top cover,82.8,22551.5,44979.7,0,0.0,0.0,0.0,18,1.0,0.001044,0.003692,,
13,Station 5.1: Top cover,6030.6,510.7,79266.1,0,0.0,0.1087,142.5,1311,1.0,0.076039,0.076574,,
14,Station 6: Packaging,0.0,,,0,0.0,0.0,0.0,0,1.0,0.0,0.0,,
15,Station 6.1: Packaging,5316.0,554.3,79309.1,0,0.0,0.0009,1.2,1329,1.0,0.067029,0.067501,,
