disruption_type,station_id,start_time,end_time,efficiency_percentage,order_id,due_date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2
Top Cover Stuck,5,127,2147,0,,,,,,,,,
emergency_order,,2956,,,364,12928,5,FUSE0,9,FUSE1,10,FUSE2,10
inspection_failure,6,3311,,,,,,,,,,,
PLC Failure,2,4429,7342,0,,,,,,,,,
emergency_order,,29706,,,367,39570,5,FUSE0,10,FUSE1,10,FUSE2,11
efficiency_loss,4.1,38550,39346,41,,,,,,,,,
emergency_order,,43459,,,351,61835,5,FUSE0,11,FUSE1,12,FUSE2,10
PLC Failure,3.4,45539,48611,0,,,,,,,,,
Drill To Dull,2,46954,53130,0,,,,,,,,,
emergency_order,,74953,,,365,94090,5,FUSE0,12,FUSE1,12,FUSE2,11
Bottom Cover Misaligned,1.1,75522,77361,0,,,,,,,,,
PLC Failure,6.1,81615,84433,0,,,,,,,,,
Top Cover Misaligned,5,94157,96055,0,,,,,,,,,
efficiency_loss,2,97036,97597,13,,,,,,,,,
Bottom Cover Stuck,1.1,105969,108015,0,,,,,,,,,
Camera Dirty,4,107143,109040,0,,,,,,,,,
efficiency_loss,4,118254,118998,33,,,,,,,,,
efficiency_loss,1,136528,137525,56,,,,,,,,,
efficiency_loss,2.1,145824,146406,23,,,,,,,,,
Top Cover Stuck,5.1,160429,162410,0,,,,,,,,,
efficiency_loss,2.2,160485,160999,30,,,,,,,,,
emergency_order,,165720,,,363,181587,5,FUSE0,11,FUSE1,10,FUSE2,12
efficiency_loss,5.2,174060,175537,24,,,,,,,,,
Drill To Dull,2.1,202107,208098,0,,,,,,,,,
efficiency_loss,5.2,210296,211811,37,,,,,,,,,
PLC Failure,1,217544,220369,0,,,,,,,,,
emergency_order,,220650,,,360,229281,5,FUSE0,8,FUSE1,6,FUSE2,9
efficiency_loss,6,228797,229179,82,,,,,,,,,
Camera Dirty,4.1,230148,231686,0,,,,,,,,,
emergency_order,,244744,,,361,257195,5,FUSE0,11,FUSE1,12,FUSE2,10
emergency_order,,259110,,,358,280983,5,FUSE0,11,FUSE1,9,FUSE2,12
Top Cover Stuck,5,273925,275924,0,,,,,,,,,
emergency_order,,293270,,,362,304461,5,FUSE0,11,FUSE1,10,FUSE2,8
Bottom Cover Stuck,1,308078,310362,0,,,,,,,,,
Top Cover Misaligned,5.1,313181,314948,0,,,,,,,,,
emergency_order,,316576,,,355,331465,5,FUSE0,9,FUSE1,11,FUSE2,8
efficiency_loss,4,317311,318101,77,,,,,,,,,
emergency_order,,319638,,,354,338263,5,FUSE0,10,FUSE1,10,FUSE2,8
emergency_order,,340163,,,356,350773,5,FUSE0,9,FUSE1,9,FUSE2,11
PLC Failure,4.1,355038,357970,0,,,,,,,,,
efficiency_loss,5.1,361252,362576,71,,,,,,,,,
emergency_order,,371225,,,357,381890,5,FUSE0,9,FUSE1,11,FUSE2,8
Misaligned Material,3,404715,413935,0,,,,,,,,,
PLC Failure,5.2,410072,412879,0,,,,,,,,,
Misaligned Material,3.1,421428,428749,0,,,,,,,,,
Drill To Dull,2.2,432057,439405,0,,,,,,,,,
emergency_order,,451652,,,352,463153,5,FUSE0,11,FUSE1,10,FUSE2,10
Top Cover Stuck,5.2,452107,454154,0,,,,,,,,,
emergency_order,,452698,,,366,462090,5,FUSE0,9,FUSE1,8,FUSE2,7
emergency_order,,482330,,,353,492236,5,FUSE0,9,FUSE1,9,FUSE2,11
efficiency_loss,6.1,484461,484853,86,,,,,,,,,
efficiency_loss,1.1,494443,495728,65,,,,,,,,,
Bottom Cover Misaligned,1,501248,503066,0,,,,,,,,,
emergency_order,,520821,,,368,554898,5,FUSE0,9,FUSE1,11,FUSE2,11
efficiency_loss,5,528225,529625,12,,,,,,,,,
Top Cover Misaligned,5.2,530529,532514,0,,,,,,,,,
inspection_failure,4.1,530885,,,,,,,,,,,
efficiency_loss,4.1,533347,533973,38,,,,,,,,,
emergency_order,,534042,,,359,561598,5,FUSE0,9,FUSE1,7,FUSE2,10
efficiency_loss,5,546960,548078,79,,,,,,,,,
inspection_failure,4,547460,,,,,,,,,,,
inspection_failure,6.1,548402,,,,,,,,,,,
PLC Failure,5,570643,573666,0,,,,,,,,,
