station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,28947.6,0.0,519100.6,6,0.004787,0.0427,187.2,4387,1.0,0.055631,0.055765,,
2,Station 1.1: Bottom cover,28894.8,0.0,519179.8,6,0.004797,0.0422,184.8,4378,1.0,0.05553,0.055655,,
3,Station 2: Drill station,83803.2,45.6,519249.2,2,0.000868,0.6768,5455.4,8060,1.0,0.161052,0.161407,,
4,Station 2.1: Drill station,7342.4,72.2,518456.4,2,0.007072,0.1276,90.2,707,1.0,0.014111,0.014164,,
5,Station 3: Robot cell,519470.8,95.0,519565.8,2,0.716232,391.4467,689729.0,1762,1.0,0.998311,1.0,,
6,Station 3.1: Robot cell,519274.0,135.0,519696.2,1,0.042421,193.2045,341585.6,1768,1.0,0.997932,0.999447,,
7,Station 3.2: Robot cell,519390.4,181.6,519889.4,1,0.09983,180.0934,317504.6,1763,1.0,0.998156,0.999389,,
8,Station 3.3: Robot cell,519673.2,185.4,520070.2,1,0.211387,187.7814,333124.2,1774,1.0,0.9987,0.999593,,
9,Station 3.4: Robot cell,516706.4,232.0,519605.4,1,0.007946,112.1138,197544.6,1762,1.0,0.992998,0.994865,,
10,Station 4: Inspection,15842.4,377.6,520171.3,0,0.0,0.042,316.8,7545,1.0,0.030446,0.030478,,
11,Station 4.1: Inspection,2562.0,4771.6,519626.9,0,0.0,0.0006,0.7,1220,1.0,0.004924,0.004976,,
12,Station 5: Top cover,782.0,57701.5,511745.3,0,0.0,0.0,0.0,170,1.0,0.001503,0.001722,,
13,Station 5.1: Top cover,39532.4,510.7,520306.9,1,0.001163,0.1529,1314.2,8595,1.0,0.075973,0.076054,,
14,Station 6: Packaging,68.0,91453.1,435014.5,0,0.0,0.0,0.0,17,1.0,0.000131,0.000198,,
15,Station 6.1: Packaging,34988.0,554.3,520349.9,0,0.0,0.0057,49.8,8747,1.0,0.067239,0.067311,,
