station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,521579.3051,0.0,613781.4922,18,0.206764,39.2271,183268.9735,4672,0.989885,0.847416,0.84978,,
2,Station 1.1: Bottom cover,519379.3486,0.0,613827.4922,14,0.117987,22.0762,103095.8678,4670,0.993844,0.843841,0.846132,,
3,Station 2: Drill station,553349.5128,151.2,613964.0922,24,0.24889,120.0274,378566.5195,3154,0.984092,0.899033,0.901495,,
4,Station 2.1: Drill station,551543.9909,191.2,614100.0922,23,0.260427,118.0108,370671.8821,3141,0.983561,0.8961,0.898413,,
5,Station 2.2: Drill station,546177.2095,303.4,614064.8922,24,0.1797,101.4199,317748.5709,3133,0.988445,0.88738,0.889885,,
6,Station 3: Robot cell,547562.0,367.0,614595.0922,1,0.011917,79.9611,154324.8714,1930,1.0,0.88963,0.891464,,
7,Station 3.1: Robot cell,554782.394,447.0,614438.2922,18,0.301809,219.7295,425176.5132,1935,0.986924,0.901361,0.903567,,
8,Station 3.2: Robot cell,552022.6911,599.2,614345.0922,19,0.348619,235.7142,452335.5851,1919,0.987201,0.896877,0.899432,,
9,Station 3.3: Robot cell,541642.4,603.8,614526.2922,1,0.007315,73.4288,140542.7729,1914,1.0,0.880012,0.882265,,
10,Station 3.4: Robot cell,546431.085,800.6,614627.0922,18,0.26277,206.8845,392873.6489,1899,0.98837,0.887793,0.890204,,
11,Station 4: Inspection,543887.6432,649.6,614878.4922,16,0.471392,108.6777,509046.2594,4684,0.996837,0.88366,0.88548,,
12,Station 4.1: Inspection,541505.2449,966.4,614795.6922,14,0.443325,104.48,487608.1102,4667,0.996534,0.87979,0.882176,,
13,Station 5: Top cover,537898.438,1300.2,615261.3922,10,0.200894,101.2911,317142.4159,3131,0.994021,0.87393,0.876111,,
14,Station 5.1: Top cover,542068.1972,1015.8,615110.9922,12,0.263141,123.4501,389855.3753,3158,0.993435,0.880704,0.88271,,
15,Station 5.2: Top cover,543848.1061,878.2,615154.5922,14,0.45697,172.2255,542338.0918,3149,0.988283,0.883596,0.885348,,
16,Station 6: Packaging,534145.2979,1448.8,615423.9922,9,0.224801,71.4418,332418.6461,4653,0.995379,0.867832,0.869979,,
17,Station 6.1: Packaging,537206.4734,1092.0,615493.9922,10,0.233561,72.5697,339916.5173,4684,0.994855,0.872805,0.874357,,
