station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,28921.2,0.0,518228.6,6,0.004792,0.0422,184.8,4382,1.0,0.05569,0.055808,,
2,Station 1.1: Bottom cover,28921.2,0.0,518297.4,6,0.004792,0.0422,184.8,4382,1.0,0.05569,0.0558,,
3,Station 2: Drill station,84604.0,45.6,518366.8,2,0.001352,0.6616,5382.0,8135,1.0,0.162912,0.163227,,
4,Station 2.1: Drill station,6541.6,72.2,517358.0,2,0.007949,0.1288,81.0,629,1.0,0.012596,0.012646,,
5,Station 3: Robot cell,518857.6,95.0,518952.6,2,0.156482,248.0781,434384.8,1751,1.0,0.999105,1.0,,
6,Station 3.1: Robot cell,518947.6,135.0,519082.6,1,0.114726,226.3002,396478.0,1752,1.0,0.999278,1.0,,
7,Station 3.2: Robot cell,518578.0,181.6,518759.6,1,0.101425,210.8031,369959.4,1755,1.0,0.998567,1.0,,
8,Station 3.3: Robot cell,518654.4,185.4,518839.8,1,0.075299,195.6977,343058.0,1753,1.0,0.998714,1.0,,
9,Station 3.4: Robot cell,518689.6,232.0,518941.4,1,0.040502,175.6615,307934.6,1753,1.0,0.998782,0.999962,,
10,Station 4: Inspection,16136.4,377.6,519143.7,0,0.0,0.0249,191.1,7684,1.0,0.031072,0.031105,,
11,Station 4.1: Inspection,2268.0,1834.0,519013.7,0,0.0,0.0051,5.5,1080,1.0,0.004367,0.004385,,
12,Station 5: Top cover,248.4,32003.1,492533.3,0,0.0,0.0,0.0,54,1.0,0.000478,0.000539,,
13,Station 5.1: Top cover,40066.0,510.7,519279.3,1,0.001607,0.1295,1127.6,8710,1.0,0.077151,0.077233,,
14,Station 6: Packaging,24.0,350300.7,434215.1,0,0.0,0.0,0.0,6,1.0,4.6e-05,0.000286,,
15,Station 6.1: Packaging,35032.0,554.3,519322.3,0,0.0,0.0019,17.0,8758,1.0,0.067457,0.067529,,
