station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,4323.0,0.0,77046.0,6,0.032061,0.2821,184.8,655,1.0,0.055314,0.056109,,
2,Station 1.1: Bottom cover,4323.0,0.0,77069.8,6,0.032061,0.2821,184.8,655,1.0,0.055314,0.056092,,
3,Station 2: Drill station,12677.6,45.6,77139.2,2,0.005742,0.6738,821.4,1219,1.0,0.162212,0.164444,,
4,Station 2.1: Drill station,946.4,72.2,76566.2,2,0.054945,0.8769,79.8,91,1.0,0.012109,0.012372,,
5,Station 3: Robot cell,77698.8,95.0,77793.8,2,0.218868,258.9215,68614.2,265,1.0,0.994172,1.0,,
6,Station 3.1: Robot cell,77779.6,135.0,77914.6,1,0.183206,243.0573,63681.0,262,1.0,0.995206,1.0,,
7,Station 3.2: Robot cell,77502.0,181.6,77683.6,1,0.076336,202.6885,53104.4,262,1.0,0.991654,1.0,,
8,Station 3.3: Robot cell,77434.4,185.4,77619.8,1,0.061069,193.3672,50662.2,262,1.0,0.990789,1.0,,
9,Station 3.4: Robot cell,77458.0,232.0,77690.0,1,0.022727,158.6598,41886.2,264,1.0,0.991091,1.0,,
10,Station 4: Inspection,2492.7,377.6,77975.7,0,0.0,0.0357,42.4,1187,1.0,0.031895,0.032123,,
11,Station 4.1: Inspection,258.3,4739.2,76497.5,0,0.0,0.0,0.0,123,1.0,0.003305,0.0036,,
12,Station 5: Top cover,216.2,41871.1,76633.1,0,0.0,0.0,0.0,47,1.0,0.002766,0.006219,,
13,Station 5.1: Top cover,5809.8,510.7,78111.3,0,0.0,0.1137,143.6,1263,1.0,0.074338,0.074868,,
14,Station 6: Packaging,0.0,,,0,0.0,0.0,0.0,0,1.0,0.0,0.0,,
15,Station 6.1: Packaging,5240.0,554.3,78154.3,0,0.0,0.0,0.0,1310,1.0,0.067047,0.067526,,
