unit_id,variant,station_index,station_name,arrival_time_s,start_time_s,finish_time_s,process_time_s,wait_time_s,queue_length_on_arrival
U001,FUSE2,1,Station 1: Bottom cover,0.0,0.0,6.6,6.6,0.0,0
U002,FUSE2,1,Station 1: Bottom cover,0.0,6.6,13.2,6.6,6.6,0
U003,FUSE2,1,Station 1: Bottom cover,0.0,13.2,19.8,6.6,13.2,1
U001,FUSE2,2,Station 2: Drill station,16.9,16.9,27.3,10.4,0.0,0
U004,FUSE2,1,Station 1: Bottom cover,0.0,19.8,26.4,6.6,19.8,2
U005,FUSE2,1,Station 1: Bottom cover,0.0,26.4,33.0,6.6,26.4,3
U002,FUSE2,2,Station 2: Drill station,23.5,27.3,37.7,10.4,3.8,0
U003,FUSE2,2,Station 2: Drill station,30.1,37.7,48.1,10.4,7.6,0
U004,FUSE2,2,Station 2: Drill station,36.7,48.1,58.5,10.4,11.4,1
U001,FUSE2,3,Station 3: Robot cell,55.3,55.3,139.8,84.5,0.0,0
U005,FUSE2,2,Station 2: Drill station,43.3,58.5,68.9,10.4,15.2,1
U002,FUSE2,3,Station 3: Robot cell,65.7,139.8,224.3,84.5,74.1,0
U001,FUSE2,4,Station 4: Inspection,153.3,153.3,155.4,2.1,0.0,0
U001,FUSE2,5,Station 5: Top cover,165.8,165.8,170.4,4.6,0.0,0
U001,FUSE2,6,Station 6: Packaging,205.2,205.2,209.2,4.0,0.0,0
U003,FUSE2,3,Station 3: Robot cell,76.1,224.3,308.8,84.5,148.2,1
U002,FUSE2,4,Station 4: Inspection,237.8,237.8,239.9,2.1,0.0,0
U002,FUSE2,5,Station 5: Top cover,250.3,250.3,254.9,4.6,0.0,0
U002,FUSE2,6,Station 6: Packaging,289.7,289.7,293.7,4.0,0.0,0
U004,FUSE2,3,Station 3: Robot cell,86.5,308.8,393.3,84.5,222.3,2
U003,FUSE2,4,Station 4: Inspection,322.3,322.3,324.4,2.1,0.0,0
U003,FUSE2,5,Station 5: Top cover,334.8,334.8,339.4,4.6,0.0,0
U003,FUSE2,6,Station 6: Packaging,374.2,374.2,378.2,4.0,0.0,0
U005,FUSE2,3,Station 3: Robot cell,96.9,393.3,477.8,84.5,296.4,3
U004,FUSE2,4,Station 4: Inspection,406.8,406.8,408.9,2.1,0.0,0
U004,FUSE2,5,Station 5: Top cover,419.3,419.3,423.9,4.6,0.0,0
U004,FUSE2,6,Station 6: Packaging,458.7,458.7,462.7,4.0,0.0,0
U005,FUSE2,4,Station 4: Inspection,491.3,491.3,493.4,2.1,0.0,0
U005,FUSE2,5,Station 5: Top cover,503.8,503.8,508.4,4.6,0.0,0
U005,FUSE2,6,Station 6: Packaging,543.2,543.2,547.2,4.0,0.0,0
