unit_id,variant,station_index,station_name,arrival_time_s,start_time_s,finish_time_s,process_time_s,wait_time_s,queue_length_on_arrival
U001,FUSE0,1,Station 1: Bottom cover,0.0,0.0,6.6,6.6,0.0,0
U002,FUSE1,1,Station 1: Bottom cover,0.0,6.6,13.2,6.6,6.6,0
U003,FUSE2,1,Station 1: Bottom cover,0.0,13.2,19.8,6.6,13.2,1
U001,FUSE0,2,Station 2: Drill station,16.9,16.9,27.3,10.4,0.0,0
U004,FUSE0,1,Station 1: Bottom cover,10.0,19.8,26.4,6.6,9.8,1
U005,FUSE1,1,Station 1: Bottom cover,10.0,26.4,33.0,6.6,16.4,2
U002,FUSE1,2,Station 2: Drill station,23.5,27.3,37.7,10.4,3.8,0
U006,FUSE2,1,Station 1: Bottom cover,10.0,33.0,39.6,6.6,23.0,3
U003,FUSE2,2,Station 2: Drill station,30.1,37.7,48.1,10.4,7.6,0
U004,FUSE0,2,Station 2: Drill station,36.7,48.1,58.5,10.4,11.4,1
U001,FUSE0,3,Station 3: Robot cell,55.3,55.3,116.2,60.9,0.0,0
U005,FUSE1,2,Station 2: Drill station,43.3,58.5,68.9,10.4,15.2,1
U006,FUSE2,2,Station 2: Drill station,49.9,68.9,79.3,10.4,19.0,1
U002,FUSE1,3,Station 3: Robot cell,65.7,116.2,192.6,76.4,50.5,0
U001,FUSE0,4,Station 4: Inspection,129.7,129.7,131.8,2.1,0.0,0
U001,FUSE0,5,Station 5: Top cover,142.2,142.2,146.8,4.6,0.0,0
U001,FUSE0,6,Station 6: Packaging,181.6,181.6,185.6,4.0,0.0,0
U003,FUSE2,3,Station 3: Robot cell,76.1,192.6,277.1,84.5,116.5,1
U007,FUSE0,1,Station 1: Bottom cover,200.0,200.0,206.6,6.6,0.0,0
U002,FUSE1,4,Station 4: Inspection,206.1,206.1,208.2,2.1,0.0,0
U008,FUSE1,1,Station 1: Bottom cover,200.0,206.6,213.2,6.6,6.6,0
U009,FUSE2,1,Station 1: Bottom cover,200.0,213.2,219.8,6.6,13.2,1
U007,FUSE0,2,Station 2: Drill station,216.9,216.9,227.3,10.4,0.0,0
U002,FUSE1,5,Station 5: Top cover,218.6,218.6,223.2,4.6,0.0,0
U008,FUSE1,2,Station 2: Drill station,223.5,227.3,237.7,10.4,3.8,0
U009,FUSE2,2,Station 2: Drill station,230.1,237.7,248.1,10.4,7.6,0
U002,FUSE1,6,Station 6: Packaging,258.0,258.0,262.0,4.0,0.0,0
U004,FUSE0,3,Station 3: Robot cell,86.5,277.1,338.0,60.9,190.6,2
U003,FUSE2,4,Station 4: Inspection,290.6,290.6,292.7,2.1,0.0,0
U003,FUSE2,5,Station 5: Top cover,303.1,303.1,307.7,4.6,0.0,0
U005,FUSE1,3,Station 3: Robot cell,96.9,338.0,414.4,76.4,241.1,3
U003,FUSE2,6,Station 6: Packaging,342.5,342.5,346.5,4.0,0.0,0
U004,FUSE0,4,Station 4: Inspection,351.5,351.5,353.6,2.1,0.0,0
U004,FUSE0,5,Station 5: Top cover,364.0,364.0,368.6,4.6,0.0,0
U004,FUSE0,6,Station 6: Packaging,403.4,403.4,407.4,4.0,0.0,0
U006,FUSE2,3,Station 3: Robot cell,107.3,414.4,498.9,84.5,307.1,4
U005,FUSE1,4,Station 4: Inspection,427.9,427.9,430.0,2.1,0.0,0
U005,FUSE1,5,Station 5: Top cover,440.4,440.4,445.0,4.6,0.0,0
U005,FUSE1,6,Station 6: Packaging,479.8,479.8,483.8,4.0,0.0,0
U007,FUSE0,3,Station 3: Robot cell,255.3,498.9,559.8,60.9,243.6,3
U006,FUSE2,4,Station 4: Inspection,512.4,512.4,514.5,2.1,0.0,0
U006,FUSE2,5,Station 5: Top cover,524.9,524.9,529.5,4.6,0.0,0
U008,FUSE1,3,Station 3: Robot cell,265.7,559.8,636.2,76.4,294.1,4
U006,FUSE2,6,Station 6: Packaging,564.3,564.3,568.3,4.0,0.0,0
U007,FUSE0,4,Station 4: Inspection,573.3,573.3,575.4,2.1,0.0,0
U007,FUSE0,5,Station 5: Top cover,585.8,585.8,590.4,4.6,0.0,0
U007,FUSE0,6,Station 6: Packaging,625.2,625.2,629.2,4.0,0.0,0
U009,FUSE2,3,Station 3: Robot cell,276.1,636.2,720.7,84.5,360.1,5
U008,FUSE1,4,Station 4: Inspection,649.7,649.7,651.8,2.1,0.0,0
U008,FUSE1,5,Station 5: Top cover,662.2,662.2,666.8,4.6,0.0,0
U008,FUSE1,6,Station 6: Packaging,701.6,701.6,705.6,4.0,0.0,0
U009,FUSE2,4,Station 4: Inspection,734.2,734.2,736.3,2.1,0.0,0
U009,FUSE2,5,Station 5: Top cover,746.7,746.7,751.3,4.6,0.0,0
U009,FUSE2,6,Station 6: Packaging,786.1,786.1,790.1,4.0,0.0,0
