order_id,due date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,planned_day
262,8429,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1
144,8868,2,FUSE0,9,FUSE1,9,FUSE2,8,1,1
308,10436,3,FUSE0,9,FUSE1,9,FUSE2,9,1,1
195,15497,1,FUSE0,7,FUSE1,7,FUSE2,7,1,1
255,15800,1,FUSE0,10,FUSE1,10,FUSE2,10,1,1
238,16176,3,FUSE0,9,FUSE1,8,FUSE2,9,1,1
316,18186,2,FUSE0,7,FUSE1,7,FUSE2,7,1,1
273,20232,1,FUSE0,8,FUSE1,8,FUSE2,8,1,1
229,20973,2,FUSE0,6,FUSE1,6,FUSE2,6,1,1
181,22806,1,FUSE0,7,FUSE1,8,FUSE2,8,1,1
9,25485,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1
31,25624,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1
42,26533,5,FUSE0,8,FUSE1,8,FUSE2,7,1,1
197,27418,5,FUSE0,8,FUSE1,8,FUSE2,9,1,1
234,28012,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1
259,29170,1,FUSE0,7,FUSE1,8,FUSE2,8,1,1
203,32358,1,FUSE0,7,FUSE1,7,FUSE2,8,1,1
301,32671,1,FUSE0,9,FUSE1,9,FUSE2,9,1,1
304,36122,1,FUSE0,9,FUSE1,9,FUSE2,8,1,2
199,37025,1,FUSE0,9,FUSE1,9,FUSE2,9,1,2
65,37224,1,FUSE0,8,FUSE1,9,FUSE2,9,1,2
2,38362,2,FUSE0,9,FUSE1,9,FUSE2,9,1,2
266,42542,1,FUSE0,7,FUSE1,7,FUSE2,7,1,2
69,46659,5,FUSE0,8,FUSE1,8,FUSE2,8,1,2
241,47627,1,FUSE0,8,FUSE1,8,FUSE2,8,1,2
141,47968,3,FUSE0,8,FUSE1,8,FUSE2,8,1,2
277,55123,1,FUSE0,7,FUSE1,7,FUSE2,8,1,2
299,59948,5,FUSE0,8,FUSE1,8,FUSE2,7,1,2
213,60003,4,FUSE0,8,FUSE1,8,FUSE2,8,1,2
186,61837,1,FUSE0,9,FUSE1,10,FUSE2,10,1,2
267,62427,5,FUSE0,8,FUSE1,8,FUSE2,8,1,2
236,63788,1,FUSE0,9,FUSE1,9,FUSE2,9,1,2
13,65576,4,FUSE0,9,FUSE1,9,FUSE2,8,1,2
291,66127,3,FUSE0,7,FUSE1,7,FUSE2,7,1,2
337,66510,5,FUSE0,7,FUSE1,7,FUSE2,8,1,2
107,67973,2,FUSE0,8,FUSE1,8,FUSE2,9,1,2
103,70924,1,FUSE0,7,FUSE1,7,FUSE2,7,1,3
143,71511,1,FUSE0,8,FUSE1,8,FUSE2,9,1,3
320,77201,3,FUSE0,8,FUSE1,8,FUSE2,9,1,3
24,79138,5,FUSE0,7,FUSE1,7,FUSE2,7,1,3
314,80838,2,FUSE0,7,FUSE1,7,FUSE2,8,1,3
317,81128,1,FUSE0,10,FUSE1,10,FUSE2,10,1,3
240,81481,2,FUSE0,9,FUSE1,9,FUSE2,9,1,3
168,82775,1,FUSE0,8,FUSE1,7,FUSE2,8,1,3
159,83500,2,FUSE0,8,FUSE1,9,FUSE2,9,1,3
333,89951,1,FUSE0,9,FUSE1,9,FUSE2,9,1,3
89,90631,1,FUSE0,10,FUSE1,10,FUSE2,11,1,3
292,93957,1,FUSE0,8,FUSE1,8,FUSE2,7,1,3
281,94275,4,FUSE0,9,FUSE1,9,FUSE2,9,1,3
289,94407,3,FUSE0,8,FUSE1,8,FUSE2,7,1,3
290,95031,1,FUSE0,9,FUSE1,9,FUSE2,8,1,3
205,97824,1,FUSE0,8,FUSE1,9,FUSE2,9,1,3
274,98934,1,FUSE0,9,FUSE1,9,FUSE2,10,1,3
248,100563,5,FUSE0,8,FUSE1,8,FUSE2,9,1,4
268,101406,3,FUSE0,9,FUSE1,9,FUSE2,8,1,4
