station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,491660.4,0.0,518614.2,14,0.027613,3.6259,15888.5,4382,1.0,0.944864,0.948027,,
2,Station 1.1: Bottom cover,491660.4,0.0,518656.2,13,0.023505,3.1396,13757.8,4382,1.0,0.944864,0.94795,,
3,Station 2: Drill station,516786.4,151.2,518897.6,1,0.000342,23.3486,68247.9,2923,1.0,0.99315,0.996222,,
4,Station 2.1: Drill station,516609.6,191.2,518856.8,0,0.0,22.0033,64293.5,2922,1.0,0.99281,0.996036,,
5,Station 2.2: Drill station,516079.2,303.4,518816.0,0,0.0,21.8689,63835.3,2919,1.0,0.991791,0.995307,,
6,Station 3: Robot cell,519013.2,367.0,519438.8,1,0.203872,242.8496,426443.9,1756,1.0,0.99743,0.999887,,
7,Station 3.1: Robot cell,518946.0,447.0,519464.4,1,0.145465,229.2461,401868.5,1753,1.0,0.9973,0.999862,,
8,Station 3.2: Robot cell,518961.2,599.2,519603.6,1,0.066629,202.3735,355367.8,1756,1.0,0.99733,0.999917,,
9,Station 3.3: Robot cell,518528.0,603.8,519356.0,1,0.038857,186.5509,326464.1,1750,1.0,0.996497,0.999568,,
10,Station 3.4: Robot cell,518278.8,800.6,519266.1,1,0.017724,163.4569,285886.1,1749,1.0,0.996018,0.99964,,
11,Station 4: Inspection,515911.2,649.6,519755.9,2,0.310919,92.5756,406129.0,4387,1.0,0.991468,0.993845,,
12,Station 4.1: Inspection,514735.2,966.4,519820.2,2,0.278958,87.9566,384986.2,4377,1.0,0.989208,0.992062,,
13,Station 5: Top cover,509716.8,1300.2,520081.7,0,0.0,7.542,21992.4,2916,1.0,0.979564,0.982527,,
14,Station 5.1: Top cover,510765.6,1015.8,520001.3,0,0.0,7.8422,22914.9,2922,1.0,0.98158,0.984162,,
15,Station 5.2: Top cover,511464.8,878.2,520098.9,0,0.0,8.1661,23893.9,2926,1.0,0.982923,0.985062,,
16,Station 6: Packaging,507848.0,1448.8,520350.7,0,0.0,37.1045,162443.5,4378,1.0,0.975973,0.978698,,
17,Station 6.1: Packaging,508776.0,1092.0,520276.7,0,0.0,37.3043,163616.7,4386,1.0,0.977756,0.979952,,
